"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"sigma_region",0.215214331496137,0.169758554098776,0.197352276920271,0.0292610550979915,0.750925212545936,0,0,1.0730017847324,"moose_v2b_ecoregion"
"total_var_beta",-0.132199210826547,-0.117251252602569,0.181494829920724,-0.501990206320857,0.117915801267552,0.895344444444444,0,1.08601594065814,"moose_v2b_ecoregion"
"year_beta",-0.121195326583502,-0.115584006016657,0.098647408147763,-0.327455259537092,0.0480960217103644,0.903188888888889,0,1.00015172555276,"moose_v2b_ecoregion"
"year_var",-0.0110038842430452,-0.00195511349526744,0.191987778888851,-0.362433282441612,0.316990058038122,0.511922222222222,0,1.06211267299864,"moose_v2b_ecoregion"
"trend_robust_indicator",0.236566666666667,0,0.424976335352735,0,1,0,0,1.00037054206884,"moose_v2b_ecoregion"
"snr_derived",NA,-0.285836763024529,NA,-1.94398418697865,0.874057982462261,0.5651,41,NA,"moose_v2b_ecoregion"
