"estimator","abundance","scenario","n_rep","detect_rate","bias","ci_width","coverage","tri_rate","auc","spearman","field_rmse","elapsed_med"
"array_occ","bobcat_baseline","null",30,0.0333333333333333,-0.0119662772444887,5.1161895271331,0.933333333333333,0,0.690545615090532,0.39912144709801,16.0296268415121,2353.84713184834
"array_rn","bobcat_baseline","null",30,0.133333333333333,-0.0583817993477636,0.919098024477968,0.966666666666667,0,0.601932083551657,0.258986161281934,3.01446367124223,1716.48499143124
"camera_occ","bobcat_baseline","null",30,0.3,-0.188029861518822,1.6341860014657,1,0,0.709732383706262,0.475217469680078,1.63658152958471,2074.0071862936
"array_occ","common_deerlike","null",30,0.0333333333333333,-0.149569507075935,4.9908648516477,1,0,0.681191012180843,0.380405335095142,21.050660320499,2001.96401143074
"array_rn","common_deerlike","null",30,0.166666666666667,0.0198578543651602,0.930343769933296,0.866666666666667,0,0.627472394185798,0.298846902889416,3.07338849103722,2140.42298841476
"camera_occ","common_deerlike","null",30,0.133333333333333,-0.105869608774459,1.72683324814629,0.966666666666667,0,0.634645862847458,0.31737534875257,1.65221977251414,2577.28160619736
"array_occ","moderate","null",30,0.0666666666666667,-0.346235358081157,5.24879633441711,0.966666666666667,0,0.686661879718217,0.403615937413722,17.8564853917152,2080.80101132393
"array_rn","moderate","null",30,0.2,0.0230685030681324,0.988261225671415,0.9,0,0.637322349227296,0.315796212748834,3.14860063728696,2249.45763587952
"camera_occ","moderate","null",30,0.133333333333333,-0.0192629102506471,1.72806866442437,0.9,0,0.691793456112092,0.444886070041661,1.59317794439042,2356.91817140579
"array_occ","bobcat_baseline","varying",30,0,-0.409892444429268,5.41828520468361,1,0,0.69731866198322,0.419035431852128,17.0663469612245,2366.1803894043
"array_rn","bobcat_baseline","varying",30,0.166666666666667,0.1093994677608,1.04780524341983,0.866666666666667,0,0.631333165143253,0.301709631303411,3.15689147909786,1903.15226387978
"camera_occ","bobcat_baseline","varying",30,0.166666666666667,-0.121524386869207,2.31728724658431,0.966666666666667,0,0.636993569963839,0.336702296479715,2.23159256207682,2397.20166659355
"array_occ","common_deerlike","varying",30,0.0333333333333333,0.0759971698906735,4.93625399790714,0.966666666666667,0,0.661429809751143,0.333125880185122,16.0418436184606,1908.13915407658
"array_rn","common_deerlike","varying",30,0.133333333333333,0.0452415082872604,0.955949529302297,0.933333333333333,0,0.635566218375413,0.327577399852969,3.12175589815882,2207.43357944489
"camera_occ","common_deerlike","varying",30,0.166666666666667,-0.148251584897213,1.73621903295363,1,0,0.671627950603867,0.400308219846168,1.82657164102324,2351.01652872562
"array_occ","moderate","varying",30,0.0333333333333333,-0.236543860956957,5.08845093150005,1,0,0.654294345578865,0.316249512745183,17.1286977637239,2122.85336959362
"array_rn","moderate","varying",30,0.0666666666666667,0.00720781616170169,1.0423193987004,0.966666666666667,0,0.627851307030992,0.295449057507201,2.99749286304145,2135.7390652895
"camera_occ","moderate","varying",30,0.0666666666666667,-0.0013032191630001,1.67550029013173,1,0,0.661290891213362,0.36644158196449,2.03421566652097,2281.72876811028
