"region_index","region_name","year_region_mean","year_region_sd","year_region_q025","year_region_q975","p_negative","n_camera_sites","n_inat_cells"
1,"Eastern Temperate Forests",0.304394968288723,0.515529003747031,-0.515132436592633,1.61646705503864,0.278273333333333,78,42
2,"Great Plains",-0.333841003335964,0.532884970233952,-1.40436432538374,0.922894397329596,0.793166666666667,0,19
3,"Marine West Coast Forest",0.000472675364830707,0.697485053385346,-1.43873019722676,1.44417166391109,0.5015,0,0
4,"Mediterranean California",0.00156477226887687,0.698285910716593,-1.4483375272457,1.44466776176504,0.49894,0,0
5,"North American Deserts",0.261737666047009,0.521718593383524,-0.602701979915946,1.5380039569684,0.314166666666667,43,38
6,"Northern Forests",0.58088556382841,0.451066980532881,-0.060165979257873,1.78015453941919,0.0455,925,118
7,"Northwestern Forested Mountains",-0.140408551746059,0.426514169303252,-0.835419856210985,1.0880317700644,0.728286666666667,602,141
8,"Water",0.136512716126077,0.510644159020791,-0.739665124989919,1.432400884294,0.416513333333333,6,24
