"rep_id","scenario","abundance","estimator","row_id","tvb_true","tvb_mean","tvb_bias","tvb_ci_width","tvb_covered","tvb_detected","year_beta_mean","year_var_mean","tri_mean","tri_fires","disc_spearman","disc_auc","disc_rmse","elapsed_sec","status","n_arrays","mean_prop_detect","frac_saturated"
1,"null","bobcat_like","array_occ",1,0,0.448204399044294,0.448204399044294,4.83272614614362,1,0,0.696103912025488,-0.247899512981194,0.216375,0,0.0125904138772459,0.462584175900949,6.08119451010948,2812.19009613991,"OK",97,0.1627,0.0309
2,"null","bobcat_like","array_occ",2,0,-0.611112237148821,-0.611112237148821,5.82287898304106,1,0,-0.251721965884782,-0.359390271264039,0.24525,0,-0.50631248690878,0.287275126627724,45.0964330319606,2696.72930526733,"OK",97,0.1719,0.0206
3,"null","bobcat_like","array_occ",3,0,-0.288575898499808,-0.288575898499808,5.61285388304994,1,0,-0.0411985777153387,-0.24737732078447,0.2325,0,0.697676663129402,0.837188767490151,28.1452536123365,2521.1762843132,"OK",97,0.1168,0
4,"null","bobcat_like","array_occ",4,0,-0.173091749028879,-0.173091749028879,5.92587866639372,1,0,0.135454609834998,-0.308546358863877,0.21725,0,0.0620525812179837,0.522467930679811,1.25920095192595,2506.87358832359,"OK",97,0.1225,0.0103
5,"null","bobcat_like","array_occ",5,0,0.29143706345351,0.29143706345351,4.84157784443839,1,0,0.121790513732182,0.169646549721328,0.217,0,-0.630643250736198,0.191668769042675,31.9580079222922,2974.08533072472,"OK",97,0.1462,0.0103
6,"null","bobcat_like","array_occ",6,0,-0.702294987485857,-0.702294987485857,5.57214405223904,1,0,-0.49440205142451,-0.207892936061347,0.258,0,0.564000352844808,0.766922509654758,25.7907038278281,2736.73578310013,"OK",97,0.1531,0.0103
7,"null","bobcat_like","array_occ",7,0,-0.638891687640792,-0.638891687640792,5.63281209794466,1,0,-0.365912170494112,-0.27297951714668,0.266125,0,-0.348453387368666,0.361238331813154,31.1731724813823,2632.70914316177,"OK",97,0.1279,0
8,"null","bobcat_like","array_occ",8,0,-0.17600690102251,-0.17600690102251,5.05283092600603,1,0,-0.308771558229495,0.132764657206985,0.2215,0,0.201941072833199,0.649129616332551,4.44057096009253,2771.71648430824,"OK",97,0.1508,0.0103
9,"null","bobcat_like","array_occ",9,0,0.289084934749423,0.289084934749423,4.15240277146068,1,0,0.220617139570105,0.0684677951793179,0.200625,0,0.535814124714931,0.746560189407906,14.5801463735685,2984.83315396309,"OK",97,0.1499,0.0103
10,"null","bobcat_like","array_occ",10,0,-0.577827712838126,-0.577827712838126,5.85705767658613,1,0,-0.150838780598959,-0.426988932239167,0.213875,0,0.667082475967096,0.858123580896194,41.4029388560707,2563.38653635979,"OK",97,0.1388,0
11,"null","bobcat_like","array_occ",11,0,-0.234589816019851,-0.234589816019851,3.85505425759482,1,0,-0.151822376789804,-0.082767439230047,0.222875,0,0.224910368971124,0.573342195656815,12.8075705152974,3031.46940016747,"OK",97,0.1537,0
12,"null","bobcat_like","array_occ",12,0,-0.167807766810976,-0.167807766810976,4.98959867050363,1,0,0.0952016698496129,-0.263009436660589,0.21675,0,0.661879762280829,0.80901531176619,20.4863002488521,1679.34260559082,"OK",97,0.1541,0
13,"null","bobcat_like","array_occ",13,0,-0.448851595956996,-0.448851595956996,5.55815825247272,1,0,-0.24035333370438,-0.208498262252615,0.2485,0,0.0410232582787928,0.471947835199596,2.76629515674869,1741.74216914177,"OK",97,0.1168,0.0103
14,"null","bobcat_like","array_occ",14,0,-0.0477766278859029,-0.0477766278859029,5.27473532427048,1,0,0.02891830626623,-0.0766949341521329,0.225375,0,0.538446947774592,0.764952745056182,16.8150761588829,2428.0520927906,"OK",97,0.1635,0.0103
15,"null","bobcat_like","array_occ",15,0,0.407379888548661,0.407379888548661,4.91295487138011,1,0,0.253662176931439,0.153717711617222,0.22325,0,0.711971045566592,0.843612334801762,18.4459059064443,2513.95942854881,"OK",97,0.157,0.0206
16,"null","bobcat_like","array_occ",16,0,0.537032813341978,0.537032813341978,4.36065532068787,1,0,0.162105659142657,0.374927154199321,0.201125,0,-0.659751568850575,0.184988064973122,35.8477894932645,2495.73150682449,"OK",97,0.1684,0.0206
17,"null","bobcat_like","array_occ",17,0,0.954911692993779,0.954911692993779,6.13653929442146,1,0,1.55767055520069,-0.602758862206909,0.219125,0,-0.0669936909033637,0.453865784315628,3.38939723931272,2468.89941906929,"OK",97,0.1385,0.0206
18,"null","bobcat_like","array_occ",18,0,-1.18563865113929,-1.18563865113929,5.7195674353106,1,0,-0.506667199597043,-0.678971451542248,0.25125,0,0.718945677528475,0.873479011818588,21.5336491321512,2552.82489728928,"OK",97,0.1413,0.0206
19,"null","bobcat_like","array_occ",19,0,0.840213723599187,0.840213723599187,3.5912224604983,1,0,0.651332639564411,0.188881084034776,0.239875,0,0.0962855165301269,0.593981059209377,8.22042179652481,2555.48378872871,"OK",97,0.1468,0.0103
20,"null","bobcat_like","array_occ",20,0,-0.116806133060194,-0.116806133060194,5.38594965506231,1,0,0.11948752948308,-0.236293662543275,0.2455,0,0.653841947294264,0.818500261988395,38.5233220779224,1927.9093079567,"OK",97,0.1596,0.0206
21,"null","bobcat_like","array_occ",21,0,-0.456517375210075,-0.456517375210075,4.5558980888352,1,0,-0.144696223494967,-0.311821151715108,0.2275,0,0.667700339092966,0.824860758019756,26.1504297458354,1946.79049563408,"OK",97,0.1296,0.0103
22,"null","bobcat_like","array_occ",22,0,-0.244645831609498,-0.244645831609498,5.53623093984398,1,0,0.125809157460139,-0.370454989069637,0.21275,0,0.227120954837932,0.570402103669778,9.46025346024867,2063.96270561218,"OK",97,0.1289,0.0103
23,"null","bobcat_like","array_occ",23,0,0.246176886713876,0.246176886713876,4.73422484450313,1,0,0.179537224360645,0.0666396623532304,0.23175,0,-0.0188588432739888,0.534878417978226,4.45213802713179,2206.09504413605,"OK",97,0.1113,0
24,"null","bobcat_like","array_occ",24,0,-0.633139815261975,-0.633139815261975,4.86589649889304,1,0,-0.299026780373377,-0.334113034888599,0.228125,0,-0.191979025770992,0.430136428030818,13.9995324622115,2951.33962917328,"OK",97,0.1464,0.0103
25,"null","bobcat_like","array_occ",25,0,1.45100532160847,1.45100532160847,5.75758705776177,1,0,1.2514343855097,0.199570936098768,0.333375,0,0.375499987040022,0.649503192377108,6.33839010996288,2717.52127385139,"OK",97,0.1507,0.0103
26,"null","bobcat_like","array_occ",26,0,-0.313743953810907,-0.313743953810907,5.51901445610972,1,0,0.0627576479191294,-0.376501601730037,0.19275,0,0.742349008686744,0.871087154806032,31.7373405276377,2730.09230017662,"OK",97,0.1709,0.0103
27,"null","bobcat_like","array_occ",27,0,-0.143438898127983,-0.143438898127983,3.92443011946897,1,0,-0.302827140606244,0.159388242478261,0.2185,0,0.356304360674206,0.657343437675872,10.6845728241518,2677.75966310501,"OK",97,0.1507,0
28,"null","bobcat_like","array_occ",28,0,0.681169260686319,0.681169260686319,5.55560068782715,1,0,0.452772586583884,0.228396674102435,0.237125,0,0.65618617241079,0.816307322090473,18.153744266331,2836.30759596825,"OK",97,0.1477,0.0206
29,"null","bobcat_like","array_occ",29,0,0.0779221014666299,0.0779221014666299,5.24117631059178,1,0,0.0905460956770592,-0.0126239942104293,0.2405,0,0.460144686568672,0.672805604610996,21.3051620250879,2820.91402077675,"OK",97,0.1316,0
30,"null","bobcat_like","array_occ",30,0,0.088984583948059,0.088984583948059,4.41321270381986,1,0,0.129671957665604,-0.0406873737175455,0.23,0,0.0577706110250345,0.469075666129752,5.76859952581503,2682.81132221222,"OK",97,0.167,0.0103
1,"varying","bobcat_like","array_occ",31,-0.179515853428882,-2.40254961881562,-2.22303376538674,5.88752833745238,1,0,-0.595762843796885,-1.80678677501874,0.2005,0,0.478238081665556,0.707688874226164,14.0172694710673,2676.11155724525,"OK",97,0.1277,0
2,"varying","bobcat_like","array_occ",32,-0.179515853428882,-1.13380968366276,-0.954293830233879,5.40133558546963,1,0,-0.489664894315714,-0.644144789347047,0.245625,0,0.641419492162195,0.811989365211823,22.2875947556033,2664.48035955429,"OK",97,0.1831,0.0206
3,"varying","bobcat_like","array_occ",33,-0.179515853428882,1.00274526677219,1.18226112020107,5.35669529616663,1,0,0.624874334552342,0.377870932219848,0.291,0,-0.119061655302201,0.45709212288226,2.74842673115983,2676.04884314537,"OK",97,0.1231,0
4,"varying","bobcat_like","array_occ",34,-0.179515853428882,0.415306906948198,0.594822760377081,5.69947141211243,1,0,0.26026941352872,0.155037493419478,0.25825,0,0.608832385844358,0.767902540317103,38.630200717917,2671.39706993103,"OK",97,0.1315,0
5,"varying","bobcat_like","array_occ",35,-0.179515853428882,-0.42632475823891,-0.246808904810028,5.28307928460188,1,0,0.0161653938533397,-0.44249015209225,0.189875,0,0.5051364550994,0.709770226474412,22.0977249672176,2528.38771700859,"OK",97,0.1389,0.0103
6,"varying","bobcat_like","array_occ",36,-0.179515853428882,-1.18182097390959,-1.00230512048071,3.3660041581496,1,0,-0.735268500567864,-0.446552473341728,0.297625,0,0.103737207111519,0.554886568728289,9.20595694015824,2667.77257442474,"OK",97,0.1549,0.0103
7,"varying","bobcat_like","array_occ",37,-0.179515853428882,-1.48930442740276,-1.30978857397388,5.23207954634788,1,0,-1.13730478101611,-0.351999646386657,0.33475,0,0.0992367687244466,0.506923285916668,5.44178355396753,2594.26363444328,"OK",97,0.1313,0.0103
8,"varying","bobcat_like","array_occ",38,-0.179515853428882,-0.365714329376538,-0.186198475947656,5.42849647247435,1,0,-0.0675807149140842,-0.298133614462454,0.22625,0,0.393396361623738,0.661860311669157,15.4479965215439,2635.75762438774,"OK",97,0.1209,0
9,"varying","bobcat_like","array_occ",39,-0.179515853428882,0.0187619176561141,0.198277771084996,5.82784243724996,1,0,0.0453511497040283,-0.0265892320479142,0.233625,0,0.694237067437103,0.831997515961886,35.6230997636208,2453.17823266983,"OK",97,0.1325,0
10,"varying","bobcat_like","array_occ",40,-0.179515853428882,-1.31294189526743,-1.13342604183855,4.61762220063021,1,0,-0.495594793255815,-0.817347102011613,0.25225,0,0.779748426396633,0.892497428632421,15.9631026701748,2427.46523404121,"OK",97,0.1671,0.0103
