"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"total_var_beta",-0.121027664612162,-0.119378040134915,0.0516742658589145,-0.22704020864515,-0.0248605704254157,0.993566666666667,0,1.0062059375496,"moose_v2b_national_scalar"
"year_beta",-0.120468210887213,-0.116828228855299,0.0919340659737891,-0.312639859199644,0.0421597453165956,0.912746666666667,0,1.00342817153049,"moose_v2b_national_scalar"
"year_var",-0.000559453724949,-0.00186525650715135,0.0983266254799698,-0.195112334842473,0.206267785108026,0.513573333333333,0,1.00118064370166,"moose_v2b_national_scalar"
"trend_robust_indicator",0.259886666666667,0,0.438573676214178,0,1,0,0,1.0000447072466,"moose_v2b_national_scalar"
"snr_derived",NA,-0.396676966159718,NA,-2.6558795587261,1.10161842513525,0.572826666666667,0,NA,"moose_v2b_national_scalar"
