"row_id","abundance","scenario","rep_id","n_sites","lambda_true_med","ncam_mean","ncam_med","ncam_q99","ncam_max","ncam_draw_max","frac_site_gt50","frac_site_gt200"
589,"bobcat_baseline","varying",19,705,0.113748224571343,0.251145390070922,0.0755,1.79328,2.62375,20,0,0
590,"bobcat_baseline","varying",20,705,0.113748224571343,0.58252890070922,0.236,3.312755,4.281625,29,0,0
591,"bobcat_baseline","varying",21,705,0.113748224571343,0.404828368794326,0.1215,2.766055,3.86925,19,0,0
592,"bobcat_baseline","varying",22,705,0.113748224571343,0.407513120567376,0.193125,2.464405,3.14825,22,0,0
593,"bobcat_baseline","varying",23,705,0.113748224571343,0.469772340425532,0.22375,2.71044000000001,3.529375,18,0,0
594,"bobcat_baseline","varying",24,705,0.113748224571343,0.357690602836879,0.150375,1.98094,3.2485,21,0,0
595,"bobcat_baseline","varying",25,705,0.113748224571343,0.279425,0.060125,2.424875,3.406875,19,0,0
596,"bobcat_baseline","varying",26,705,0.113748224571343,0.351618085106383,0.106125,2.69366000000001,4.400625,17,0,0
597,"bobcat_baseline","varying",27,705,0.113748224571343,0.347334219858156,0.16275,2.104865,2.502125,19,0,0
598,"bobcat_baseline","varying",28,705,0.113748224571343,0.393691843971631,0.130375,2.50836,5.07675,78,0,0
599,"bobcat_baseline","varying",29,705,0.113748224571343,0.372727304964539,0.13775,2.21079,3.627625,14,0,0
600,"bobcat_baseline","varying",30,705,0.113748224571343,0.363291489361702,0.171625,2.2951,3.526,19,0,0
601,"common_deerlike","null",1,705,0.113748224571343,0.34069219858156,0.130125,1.98171,2.7665,14,0,0
602,"common_deerlike","null",2,705,0.113748224571343,0.382346808510638,0.14425,2.545345,3.280875,16,0,0
603,"common_deerlike","null",3,705,0.113748224571343,0.361840425531915,0.14275,2.249925,3.31825,24,0,0
604,"common_deerlike","null",4,705,0.113748224571343,0.374174113475177,0.12875,2.74109,3.641375,20,0,0
605,"common_deerlike","null",5,705,0.113748224571343,0.305854255319149,0.100875,1.90737,2.94325,17,0,0
606,"common_deerlike","null",6,705,0.113748224571343,0.321285106382979,0.1045,2.23859,3.58075,15,0,0
607,"common_deerlike","null",7,705,0.113748224571343,0.399717553191489,0.1215,2.86177500000001,4.07225,16,0,0
608,"common_deerlike","null",8,705,0.113748224571343,0.292935460992908,0.08475,2.63911500000001,3.411875,14,0,0
609,"common_deerlike","null",9,705,0.113748224571343,0.422843085106383,0.197375,2.71217500000001,3.480625,24,0,0
610,"common_deerlike","null",10,705,0.113748224571343,0.228060815602837,0.0465,2.23487000000001,3.152875,18,0,0
611,"common_deerlike","null",11,705,0.113748224571343,0.317042021276596,0.10925,2.70024500000001,3.4615,18,0,0
612,"common_deerlike","null",12,705,0.113748224571343,0.257960460992908,0.065,2.249535,3.368875,15,0,0
613,"common_deerlike","null",13,705,0.113748224571343,0.362023936170213,0.17,2.11727,2.87425,13,0,0
614,"common_deerlike","null",14,705,0.113748224571343,0.285913120567376,0.08925,2.117975,3.0065,15,0,0
615,"common_deerlike","null",15,705,0.113748224571343,0.504398226950355,0.179625,3.97127000000002,5.27375,38,0,0
616,"common_deerlike","null",16,705,0.113748224571343,0.386901241134752,0.151125,2.82171,3.9525,23,0,0
617,"common_deerlike","null",17,705,0.113748224571343,0.382532624113475,0.16625,2.034015,3.1145,14,0,0
618,"common_deerlike","null",18,705,0.113748224571343,0.469103191489362,0.2425,2.492335,3.437125,23,0,0
619,"common_deerlike","null",19,705,0.113748224571343,0.389470035460993,0.152125,2.684745,4.686875,35,0,0
620,"common_deerlike","null",20,705,0.113748224571343,0.333748758865248,0.094,2.39678,3.274,19,0,0
621,"common_deerlike","null",21,705,0.113748224571343,0.301064893617021,0.10375,2.01534,3.105,15,0,0
622,"common_deerlike","null",22,705,0.113748224571343,0.374007446808511,0.11775,2.65006500000002,3.473375,16,0,0
623,"common_deerlike","null",23,705,0.113748224571343,0.375308865248227,0.1225,2.58659,3.757125,138,0,0
624,"common_deerlike","null",24,705,0.113748224571343,0.300297517730496,0.092125,2.376695,3.16025,27,0,0
625,"common_deerlike","null",25,705,0.113748224571343,0.280742553191489,0.059875,2.30828,4.715625,56,0,0
626,"common_deerlike","null",26,705,0.113748224571343,0.317855141843972,0.069875,2.289205,3.553625,17,0,0
627,"common_deerlike","null",27,705,0.113748224571343,0.344231028368794,0.101375,2.500295,3.2695,15,0,0
628,"common_deerlike","null",28,705,0.113748224571343,0.302133865248227,0.09175,2.19453,2.983375,13,0,0
629,"common_deerlike","null",29,705,0.113748224571343,0.438248581560284,0.1475,2.582015,3.560625,24,0,0
630,"common_deerlike","null",30,705,0.113748224571343,0.397705673758865,0.13975,2.58119,4.2955,19,0,0
631,"common_deerlike","varying",1,705,0.113748224571343,0.276172517730496,0.097375,1.979195,2.762375,16,0,0
632,"common_deerlike","varying",2,705,0.113748224571343,0.468774113475177,0.14525,3.106335,3.89825,25,0,0
633,"common_deerlike","varying",3,705,0.113748224571343,0.311410815602837,0.108125,1.75984,2.735125,10,0,0
634,"common_deerlike","varying",4,705,0.113748224571343,0.344628723404255,0.133375,1.836,2.72375,14,0,0
635,"common_deerlike","varying",5,705,0.113748224571343,0.343198226950355,0.068875,3.224185,4.374875,28,0,0
636,"common_deerlike","varying",6,705,0.113748224571343,0.337383687943262,0.13225,2.32952,3.672875,23,0,0
637,"common_deerlike","varying",7,705,0.113748224571343,0.328120035460993,0.086375,2.467715,3.271875,21,0,0
638,"common_deerlike","varying",8,705,0.113748224571343,0.370276241134752,0.100375,2.743145,3.796375,26,0,0
639,"common_deerlike","varying",9,705,0.113748224571343,0.330877127659574,0.1175,2.256475,3.40775,21,0,0
640,"common_deerlike","varying",10,705,0.113748224571343,0.308782978723404,0.07475,2.43451,3.520375,23,0,0
641,"common_deerlike","varying",11,705,0.113748224571343,0.307496808510638,0.093875,2.09263,3.471625,23,0,0
642,"common_deerlike","varying",12,705,0.113748224571343,0.406122872340426,0.152625,2.42508,3.321,17,0,0
643,"common_deerlike","varying",13,705,0.113748224571343,0.296874290780142,0.110125,2.063825,3.07775,25,0,0
644,"common_deerlike","varying",14,705,0.113748224571343,0.269235283687943,0.081625,2.07754,3.985375,20,0,0
645,"common_deerlike","varying",15,705,0.113748224571343,0.383800709219858,0.141875,2.12376,3.369875,13,0,0
646,"common_deerlike","varying",16,705,0.113748224571343,0.415285460992908,0.16025,2.64164,4.483625,21,0,0
647,"common_deerlike","varying",17,705,0.113748224571343,0.314952304964539,0.142875,1.95548,2.539,11,0,0
648,"common_deerlike","varying",18,705,0.113748224571343,0.315979255319149,0.11775,2.03784,3.2455,13,0,0
649,"common_deerlike","varying",19,705,0.113748224571343,0.292750709219858,0.08575,2.064915,3.34975,14,0,0
650,"common_deerlike","varying",20,705,0.113748224571343,0.400932624113475,0.118625,3.60947000000002,4.915,31,0,0
651,"common_deerlike","varying",21,705,0.113748224571343,0.31539219858156,0.051375,2.52423,3.199,23,0,0
652,"common_deerlike","varying",22,705,0.113748224571343,0.329971808510638,0.114375,2.27305,2.946625,16,0,0
653,"common_deerlike","varying",23,705,0.113748224571343,0.304777482269504,0.117,2.04778,2.495125,13,0,0
654,"common_deerlike","varying",24,705,0.113748224571343,0.469812056737589,0.1855,2.59691,3.268,16,0,0
655,"common_deerlike","varying",25,705,0.113748224571343,0.315696808510638,0.08825,2.07502,3.82625,18,0,0
656,"common_deerlike","varying",26,705,0.113748224571343,0.43811170212766,0.157625,3.02229,3.923125,26,0,0
657,"common_deerlike","varying",27,705,0.113748224571343,0.292123404255319,0.111125,1.920515,2.714125,27,0,0
658,"common_deerlike","varying",28,705,0.113748224571343,0.30550195035461,0.10175,2.033295,3.524875,13,0,0
659,"common_deerlike","varying",29,705,0.113748224571343,0.311627482269504,0.10225,2.102685,2.8635,18,0,0
660,"common_deerlike","varying",30,705,0.113748224571343,0.370933687943262,0.121,2.706045,4.7185,21,0,0
661,"moderate","null",1,705,0.113748224571343,0.354423581560284,0.094,2.89544,3.96,26,0,0
662,"moderate","null",2,705,0.113748224571343,0.424325531914894,0.182125,2.37884,3.2675,16,0,0
663,"moderate","null",3,705,0.113748224571343,0.434823936170213,0.181375,2.61824,3.887125,17,0,0
664,"moderate","null",4,705,0.113748224571343,0.441307978723404,0.189375,2.88767,4.297625,21,0,0
665,"moderate","null",5,705,0.113748224571343,0.41134414893617,0.098375,3.56343,5.39125,41,0,0
666,"moderate","null",6,705,0.113748224571343,0.270445390070922,0.094875,1.830885,2.580875,13,0,0
667,"moderate","null",7,705,0.113748224571343,0.484089007092199,0.19925,2.524985,3.858125,17,0,0
668,"moderate","null",8,705,0.113748224571343,0.422073936170213,0.196375,2.55853,4.1035,18,0,0
669,"moderate","null",9,705,0.113748224571343,0.33705780141844,0.0825,2.41911500000001,3.4695,17,0,0
670,"moderate","null",10,705,0.113748224571343,0.364905496453901,0.1275,2.104055,2.88475,13,0,0
671,"moderate","null",11,705,0.113748224571343,0.320724468085106,0.093625,2.40643000000001,4.480125,38,0,0
672,"moderate","null",12,705,0.113748224571343,0.233595921985816,0.05325,2.45212000000002,3.938625,16,0,0
673,"moderate","null",13,705,0.113748224571343,0.334779255319149,0.091625,2.28654,3.261625,21,0,0
674,"moderate","null",14,705,0.113748224571343,0.299329609929078,0.121,1.83588,2.397375,12,0,0
675,"moderate","null",15,705,0.113748224571343,0.309304078014184,0.0955,2.30222,2.43225,19,0,0
