"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"total_var_beta",-0.241765947375982,-0.2412541819396,0.0361811119699833,-0.314209863406138,-0.172109543300636,1,0,1.00055500020597,"bobcat_v2b_national_scalar"
"year_beta",-5.52986232427934e-05,7.04408651293073e-05,0.0299681826418352,-0.061154327747358,0.061176952505402,0.4983,0,1.00019069773223,"bobcat_v2b_national_scalar"
"year_var",-0.241710648752739,-0.241377008621822,0.0472835468341568,-0.335494772211705,-0.149744117184037,1,0,1.00038634331816,"bobcat_v2b_national_scalar"
"trend_robust_indicator",0.000546666666666666,0,0.0233745901503888,0,0,0,0,1.11451769969486,"bobcat_v2b_national_scalar"
"snr_derived",NA,-0.000298011842851258,NA,-0.0697705071334004,0.0817521129690992,0.5017,0,NA,"bobcat_v2b_national_scalar"
