"camera_level","n_site_keep","inat_level","global_mult","ecoregion","n_reps","rmse","bias","coverage","mean_n_site_region","mean_cam_detections_region","mean_inat_count_region","convergence_filter"
"1x",700,"1x",1,"WATER",30,0.247542421434013,-0.190033908846949,0.933333333333333,82,23.9,31.6,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"EASTERN TEMPERATE FORESTS",29,0.300333361145752,0.235558815405184,0.862068965517241,88,13.4137931034483,70.6551724137931,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"GREAT PLAINS",29,0.187981327922136,0.164472702962079,0.96551724137931,88,19.1724137931034,371.48275862069,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"MARINE WEST COAST FOREST",29,0.157276552869338,0.10118387358695,1,88,20,1723,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"MEDITERRANEAN CALIFORNIA",29,0.0780421312344882,0.0166292887476495,1,88,69.7586206896552,912.448275862069,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"NORTH AMERICAN DESERTS",29,0.135052527935336,-0.0668736994148012,1,88,48.8275862068966,80.4137931034483,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"NORTHERN FORESTS",29,0.172696757380429,-0.0582316969981904,1,88,15.1724137931034,142.103448275862,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",29,0.209124817679,-0.128686545872562,0.931034482758621,88,15.2413793103448,155.48275862069,"sigma_region_mean_le_1_only"
"1x",700,"4x",4,"WATER",29,0.226555073153064,-0.177878959534963,0.793103448275862,82,20.1034482758621,115.827586206897,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"EASTERN TEMPERATE FORESTS",30,0.292791164788364,0.234836832798201,0.8,88,12.4,287.933333333333,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"GREAT PLAINS",30,0.310683079013542,0.181487142979522,0.833333333333333,88,17.6,1304.26666666667,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"MARINE WEST COAST FOREST",30,0.104551670757118,0.0526856047543488,0.933333333333333,88,19.1,6900.26666666667,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"MEDITERRANEAN CALIFORNIA",30,0.0777148205387524,0.00248444464305536,0.966666666666667,88,66.7,3677.93333333333,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"NORTH AMERICAN DESERTS",30,0.109926833948563,-0.0134121977375402,1,88,48.2666666666667,326.333333333333,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"NORTHERN FORESTS",30,0.137992906018595,-0.0973429720621868,0.966666666666667,88,14.5333333333333,603,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",30,0.188773889360541,-0.159049525881617,0.833333333333333,88,12.6666666666667,638.533333333333,"sigma_region_mean_le_1_only"
"1x",700,"16x",16,"WATER",30,0.280126815811152,-0.178475967861944,0.8,82,21.4666666666667,464.4,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.25479212633175,0.210546118228672,0.966666666666667,175,30,4.36666666666667,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"GREAT PLAINS",30,0.290668139915089,0.2630215072535,0.9,175,43.1666666666667,22.2666666666667,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.156158903287281,0.0930976990088827,1,175,38.8,102.4,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.114263605429455,0.0236197821519621,1,175,147.566666666667,55.6333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.142141889781802,-0.0807799414006628,1,175,82.2333333333333,5.03333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"NORTHERN FORESTS",30,0.144111047092807,-0.0973088148888078,1,175,30.5666666666667,8.7,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.278154616933902,-0.25967714675372,0.933333333333333,175,36.2,10.0666666666667,"sigma_region_mean_le_1_only"
"2x",1400,"0.25x",0.25,"WATER",30,0.26593333329573,-0.237949841499166,0.933333333333333,175,47.5333333333333,7,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.242049445137702,0.225333324670972,0.8,175,31.3,18.1333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"GREAT PLAINS",30,0.250048657052881,0.211233927940964,0.766666666666667,175,44.3333333333333,85.3333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"MARINE WEST COAST FOREST",30,0.12729481233098,0.0749906093480652,1,175,38.6666666666667,443.766666666667,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.101239080833211,0.0464532310382893,1,175,146.1,233.3,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"NORTH AMERICAN DESERTS",30,0.111283290693149,-0.076361164629618,1,175,81.6333333333333,19.1333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"NORTHERN FORESTS",30,0.132663711073138,-0.0657336884783906,0.966666666666667,175,29.8333333333333,36.1666666666667,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.239572424922126,-0.222531553228806,0.866666666666667,175,37.3333333333333,36.9333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"1x",1,"WATER",30,0.240269204767461,-0.218434381207967,0.933333333333333,175,48.6333333333333,28.7333333333333,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"EASTERN TEMPERATE FORESTS",30,0.22671370826905,0.20599115220755,0.833333333333333,175,29.0666666666667,73,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"GREAT PLAINS",30,0.176077226161861,0.142912658135136,0.9,175,41.4,361.6,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"MARINE WEST COAST FOREST",30,0.121412982486053,0.0966064311127103,0.966666666666667,175,38.0666666666667,1845.83333333333,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.149599886106371,0.0430667995540192,0.933333333333333,175,144.166666666667,919.8,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"NORTH AMERICAN DESERTS",30,0.137571415426293,-0.0682469912158963,1,175,80.5666666666667,79.2,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"NORTHERN FORESTS",30,0.143685301417043,-0.102515741393399,0.966666666666667,175,30.3666666666667,139.666666666667,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,0.184795468775179,-0.174192214105646,0.9,175,34.7,165.6,"sigma_region_mean_le_1_only"
"2x",1400,"4x",4,"WATER",30,0.226510707494002,-0.193842489464529,0.766666666666667,175,48.0666666666667,119.433333333333,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"EASTERN TEMPERATE FORESTS",28,0.238163161263669,0.21210971353273,0.678571428571429,175,29.6785714285714,296.892857142857,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"GREAT PLAINS",28,0.173603798450786,0.152424995727228,0.821428571428571,175,41.9642857142857,1384.28571428571,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"MARINE WEST COAST FOREST",28,0.0967436124641579,0.0643465183460346,0.857142857142857,175,41.8571428571429,6959.17857142857,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"MEDITERRANEAN CALIFORNIA",28,0.0704359450853422,0.0177951084570481,1,175,142.821428571429,3645.92857142857,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"NORTH AMERICAN DESERTS",28,0.0682986462297853,-0.0368836337624516,1,175,80.7857142857143,331.607142857143,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"NORTHERN FORESTS",28,0.11237503338162,-0.0673909445246416,0.892857142857143,175,27.9642857142857,556.857142857143,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",28,0.169981652171161,-0.149993295208808,0.821428571428571,175,39.4642857142857,617.892857142857,"sigma_region_mean_le_1_only"
"2x",1400,"16x",16,"WATER",28,0.205175432735335,-0.189875861809512,0.75,175,48.6785714285714,443.392857142857,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.245772398255418,0.216313948086645,1,350,63.1,4.9,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"GREAT PLAINS",30,0.281383360089401,0.256461372864323,0.966666666666667,350,75.8666666666667,23.2666666666667,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.129449894231518,0.095194337049066,1,350,81.9333333333333,112.366666666667,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.104113198452381,0.030316051599541,1,350,275.1,56.6333333333333,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.156855780380064,-0.0910399400712407,1,350,157.333333333333,5.06666666666667,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"NORTHERN FORESTS",30,0.133333919320167,-0.0473399418299173,1,350,49.7333333333333,8.96666666666667,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.338932846975865,-0.311052811991681,0.966666666666667,350,59.0666666666667,9.36666666666667,"sigma_region_mean_le_1_only"
"4x",2800,"0.25x",0.25,"WATER",30,0.253488882906268,-0.228268311318625,1,350,92.4,6.9,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.230985786292119,0.214658562538865,0.833333333333333,350,58.0666666666667,17.6,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"GREAT PLAINS",30,0.252467690173704,0.210705426724006,0.9,350,76.3666666666667,90.1,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"MARINE WEST COAST FOREST",30,0.137692889213504,0.104374675621395,0.966666666666667,350,76.8,453.733333333333,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.0908144012693773,0.0380133781264826,1,350,282.233333333333,220.2,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"NORTH AMERICAN DESERTS",30,0.13914413494677,-0.0952388045491816,1,350,159.633333333333,18.7666666666667,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"NORTHERN FORESTS",30,0.146110370530194,-0.0983912667239513,0.966666666666667,350,50.9,35.4333333333333,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.21397577923146,-0.19870194676337,0.9,350,58.2,38.8333333333333,"sigma_region_mean_le_1_only"
"4x",2800,"1x",1,"WATER",30,0.252805208448846,-0.2366283012791,0.9,350,91.5666666666667,30.1333333333333,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"EASTERN TEMPERATE FORESTS",29,0.24139191300878,0.226690001601737,0.827586206896552,350,58.3793103448276,74.6206896551724,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"GREAT PLAINS",29,0.202368191231504,0.184166743020526,0.862068965517241,350,75.7586206896552,358.689655172414,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"MARINE WEST COAST FOREST",29,0.106454017237697,0.069196273927902,0.96551724137931,350,83.1034482758621,1655.79310344828,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"MEDITERRANEAN CALIFORNIA",29,0.0881899773734854,0.0152415612447013,1,350,278.931034482759,931.068965517241,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"NORTH AMERICAN DESERTS",29,0.0941520602080891,-0.062812657864892,1,350,161.068965517241,79.5172413793103,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"NORTHERN FORESTS",29,0.107121377608615,-0.0475471041041023,0.96551724137931,350,51.7931034482759,151.034482758621,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",29,0.193860101850149,-0.187842272716908,0.931034482758621,350,60.9310344827586,158.724137931034,"sigma_region_mean_le_1_only"
"4x",2800,"4x",4,"WATER",29,0.236473811034994,-0.226662215918489,0.724137931034483,350,91.2758620689655,116.551724137931,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"EASTERN TEMPERATE FORESTS",23,0.24161199039375,0.222885714569373,0.782608695652174,350,59,293,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"GREAT PLAINS",23,0.161261377813233,0.134428385953595,0.91304347826087,350,75.9565217391304,1406.52173913043,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"MARINE WEST COAST FOREST",23,0.0890907120050116,0.0454033771227142,0.956521739130435,350,80.695652173913,7534.86956521739,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"MEDITERRANEAN CALIFORNIA",23,0.050826977292532,0.00947035945322119,1,350,278.695652173913,3888.60869565217,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"NORTH AMERICAN DESERTS",23,0.110527399944209,-0.0556411532427313,1,350,158.826086956522,313.130434782609,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"NORTHERN FORESTS",23,0.112413551223031,-0.064760216217108,1,350,48.6521739130435,582.521739130435,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",23,0.168910397263568,-0.147137797358846,0.782608695652174,350,59.2608695652174,646.04347826087,"sigma_region_mean_le_1_only"
"4x",2800,"16x",16,"WATER",23,0.184188196836757,-0.160991624007535,0.869565217391304,350,93.4782608695652,492.782608695652,"sigma_region_mean_le_1_only"
