"camera_level","n_site_keep","inat_level","global_mult","ecoregion","n_reps","rmse","bias","coverage","mean_n_site_region","mean_cam_detections_region","mean_inat_count_region","convergence_filter"
"1x",700,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.15057893419963,-0.033124207054856,1,88,47.0666666666667,5.76666666666667,"all_reps"
"1x",700,"0.25x",0.25,"NORTHERN FORESTS",30,0.158220376628433,-0.0740502450683194,1,88,15.7666666666667,9.56666666666667,"all_reps"
"1x",700,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.348444884105524,-0.305136727324633,0.933333333333333,88,15.6,10.1666666666667,"all_reps"
"1x",700,"0.25x",0.25,"WATER",30,0.283002141670518,-0.235765171778088,0.966666666666667,82,20.3666666666667,6.76666666666667,"all_reps"
"1x",700,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.205785143021191,0.152942827658266,0.966666666666667,88,11.9,17.7666666666667,"all_reps"
"1x",700,"1x",1,"GREAT PLAINS",30,0.228987201380566,0.201036448558579,1,88,17.2333333333333,88.4666666666667,"all_reps"
"1x",700,"1x",1,"MARINE WEST COAST FOREST",30,0.111796705627757,0.0681769611073263,0.966666666666667,88,20.6,437.166666666667,"all_reps"
"1x",700,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.101650368629781,0.0547622649550362,1,88,68.4333333333333,238.333333333333,"all_reps"
"1x",700,"1x",1,"NORTH AMERICAN DESERTS",30,0.149920940973472,-0.080424212989582,1,88,48.2,22.1,"all_reps"
"1x",700,"1x",1,"NORTHERN FORESTS",30,0.138620659483186,-0.00278150639313669,1,88,14.9,37.3666666666667,"all_reps"
"1x",700,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.274757635205323,-0.246855087314647,0.9,88,16.0666666666667,40.3,"all_reps"
"1x",700,"1x",1,"WATER",30,0.247542421434013,-0.190033908846949,0.933333333333333,82,23.9,31.6,"all_reps"
"1x",700,"4x",4,"EASTERN TEMPERATE FORESTS",30,0.816116384847064,0.366613597795682,0.866666666666667,88,13.1333333333333,70.7333333333333,"all_reps"
"1x",700,"4x",4,"GREAT PLAINS",30,0.188116290622478,0.152590648103722,0.966666666666667,88,19.2333333333333,371.266666666667,"all_reps"
"1x",700,"4x",4,"MARINE WEST COAST FOREST",30,0.654404917985343,0.213905064591645,1,88,19.7,1722.06666666667,"all_reps"
"1x",700,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.564681062178217,-0.0860649815320335,1,88,69.3333333333333,914.533333333333,"all_reps"
"1x",700,"4x",4,"NORTH AMERICAN DESERTS",30,0.436177817335699,0.0112105217012169,1,88,48.8,80.2666666666667,"all_reps"
"1x",700,"4x",4,"NORTHERN FORESTS",30,0.455265483966961,0.0208319092069145,1,88,15.2666666666667,142.9,"all_reps"
"1x",700,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,0.707296588785688,-0.000839578794055633,0.933333333333333,88,15,154.366666666667,"all_reps"
"1x",700,"4x",4,"WATER",30,0.223173071896092,-0.169433542485278,0.8,82,20.5333333333333,115.6,"all_reps"
"1x",700,"16x",16,"EASTERN TEMPERATE FORESTS",30,0.292791164788364,0.234836832798201,0.8,88,12.4,287.933333333333,"all_reps"
"1x",700,"16x",16,"GREAT PLAINS",30,0.310683079013542,0.181487142979522,0.833333333333333,88,17.6,1304.26666666667,"all_reps"
"1x",700,"16x",16,"MARINE WEST COAST FOREST",30,0.104551670757118,0.0526856047543488,0.933333333333333,88,19.1,6900.26666666667,"all_reps"
"1x",700,"16x",16,"MEDITERRANEAN CALIFORNIA",30,0.0777148205387524,0.00248444464305536,0.966666666666667,88,66.7,3677.93333333333,"all_reps"
"1x",700,"16x",16,"NORTH AMERICAN DESERTS",30,0.109926833948563,-0.0134121977375402,1,88,48.2666666666667,326.333333333333,"all_reps"
"1x",700,"16x",16,"NORTHERN FORESTS",30,0.137992906018595,-0.0973429720621868,0.966666666666667,88,14.5333333333333,603,"all_reps"
"1x",700,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",30,0.188773889360541,-0.159049525881617,0.833333333333333,88,12.6666666666667,638.533333333333,"all_reps"
"1x",700,"16x",16,"WATER",30,0.280126815811152,-0.178475967861944,0.8,82,21.4666666666667,464.4,"all_reps"
"2x",1400,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.25479212633175,0.210546118228672,0.966666666666667,175,30,4.36666666666667,"all_reps"
"2x",1400,"0.25x",0.25,"GREAT PLAINS",30,0.290668139915089,0.2630215072535,0.9,175,43.1666666666667,22.2666666666667,"all_reps"
"2x",1400,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.156158903287281,0.0930976990088827,1,175,38.8,102.4,"all_reps"
"2x",1400,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.114263605429455,0.0236197821519621,1,175,147.566666666667,55.6333333333333,"all_reps"
"2x",1400,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.142141889781802,-0.0807799414006628,1,175,82.2333333333333,5.03333333333333,"all_reps"
"2x",1400,"0.25x",0.25,"NORTHERN FORESTS",30,0.144111047092807,-0.0973088148888078,1,175,30.5666666666667,8.7,"all_reps"
"2x",1400,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.278154616933902,-0.25967714675372,0.933333333333333,175,36.2,10.0666666666667,"all_reps"
"2x",1400,"0.25x",0.25,"WATER",30,0.26593333329573,-0.237949841499166,0.933333333333333,175,47.5333333333333,7,"all_reps"
"2x",1400,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.242049445137702,0.225333324670972,0.8,175,31.3,18.1333333333333,"all_reps"
