"site_id","model_i","cell50","cell100","year","psi_mean","psi_q025","psi_q975","lon","lat"
952,887,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.11209,47.08567
953,888,231,60,2019,0.149227486729244,0.0296900174505859,0.447368464774778,-113.05653,47.04922
954,889,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.08588,47.06378
955,890,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.09731,47.0879
956,891,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.09887,47.05159
957,892,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.0883,47.05059
958,893,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.07108,47.07802
959,894,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.08601,47.07802
960,895,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.07124,47.06007
961,896,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.10805,47.07014
962,897,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.09924,47.08127
963,898,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.09838,47.06623
964,899,231,60,2019,0.477043884202361,0.187757879041455,0.83907161325478,-113.05164,47.06229
965,900,231,60,2019,0.42271090119131,0.227120428076868,0.719362285335522,-113.08179,47.05593
966,901,231,60,2019,0.149227486729244,0.0296900174505859,0.447368464774778,-113.07418,47.04448
977,902,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.97896,46.86254
978,903,230,59,2019,5.40106287319077e-05,0,4.43793003318535e-08,-114.03002,46.82091
979,904,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.96255,46.87617
980,905,230,59,2019,5.40106287319077e-05,0,4.43793003318535e-08,-114.0057,46.83493
981,906,229,59,2019,0.000202727814948961,9.96362337080114e-10,0.000223604642610229,-114.06136,46.81736
982,907,229,59,2019,0.00800801230928251,5.05609710148791e-05,0.0221026115807944,-114.17403,46.89771
983,908,230,59,2019,4.25121410683307e-05,0,4.21884749357559e-15,-114.06057,46.87191
984,909,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.97624,46.84881
985,910,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.97487,46.88117
986,911,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.99052,46.86875
987,912,230,59,2019,4.25121410683307e-05,0,4.21884749357559e-15,-114.05781,46.86777
988,913,230,59,2019,5.40106287319077e-05,0,4.43793003318535e-08,-114.01799,46.81645
989,914,230,59,2019,4.97816846289278e-05,0,2.53927745497149e-10,-113.94162,46.86262
990,915,230,59,2019,5.40106287319077e-05,0,4.43793003318535e-08,-114.01406,46.81915
7904,916,657,170,2019,0.153949986208334,0.0304629049462359,0.445730756446634,-114.61059,43.85301
7905,917,657,170,2019,0.153949986208334,0.0304629049462359,0.445730756446634,-114.61117,43.83749
7906,918,657,170,2019,0.129476169299481,0.0216763188212308,0.413668983601286,-114.63296,43.87335
7907,919,657,170,2019,0.153949986208334,0.0304629049462359,0.445730756446634,-114.6235,43.82284
7908,920,657,170,2019,0.153949986208334,0.0304629049462359,0.445730756446634,-114.63902,43.83664
7909,921,657,170,2019,0.148879822045514,0.0271920772558459,0.448809168185204,-114.68813,43.88966
7910,922,657,170,2019,0.100971535840309,0.017083811524027,0.323422930210115,-114.67992,43.9053
7911,923,657,170,2019,0.148879822045514,0.0271920772558459,0.448809168185204,-114.70593,43.87229
7912,924,735,211,2019,0.390070073497726,0.165757540179639,0.771743075350103,-114.5214,43.53206
