"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-4.09961236197473,-9.54018653286136,1.10951555121496,0.833523873622197,-1.76704553815906,3.51176439275483,-1.98820600396042,-7.99446815969876,3.77004076426761,NA,NA,-123.169325592467,49.3418514172384
2,-4.12549492922704,-8.97856189391099,0.466604400680745,0.681281081235159,-1.62006436815073,3.03578454868319,-1.92560036681002,-7.16428654267477,3.13481848524438,NA,NA,-125.34278383401,47.9398318622962
3,-4.11867449861892,-8.53292309185234,0.0577311178154647,0.726333543431919,-1.2475143107711,2.75786373808757,-1.94495122579694,-6.54270696346249,2.43467173442643,NA,NA,-124.072494736524,48.2097010749556
4,-4.1033377223537,-8.21198621838552,-0.22993199299275,0.835392572207761,-0.818904550375811,2.59183116985468,-1.98464040225668,-6.07584171265426,1.77390634999468,NA,NA,-122.791789339332,48.4681839714966
5,-4.07040733952604,-7.87496946872368,-0.473676909418928,1.05180514632443,-0.017879349584387,2.32535742950039,-2.04236695669511,-5.45519239870535,0.401096028363331,NA,NA,-121.501009306634,48.7151138832371
6,-3.1504861361251,-6.32718918332939,-0.0250038620243874,0.755805550595962,0.179963504347129,1.29369464315129,-0.35722415295237,-5.89652504666524,2.80315939641457,NA,NA,-120.200515518212,48.950330479974
7,-4.30289022742532,-7.22453922237845,-1.46812894142263,0.581499657870954,-0.626568460973061,1.81815826481093,-1.20402751181389,-4.55446951342655,1.78512796805673,NA,NA,-118.890692449359,49.173665496168
8,-3.44252938465191,-6.696111028852,-0.330765607676888,-0.0680398344315628,-1.36641976467835,1.47461942107739,-0.0930978120815802,-3.12945156771058,2.76407311867942,NA,NA,-117.57193502443,49.3849715064046
9,-4.13031104097887,-8.56218303371323,0.0734449419279624,0.628400241542575,-1.42458358899545,2.73732352350175,-1.91436254969661,-6.58786546969154,2.60613025726494,NA,NA,-124.944602195595,47.0768315721678
10,-4.12941155793571,-8.1964012050214,-0.308307853394751,0.660881627644101,-1.13289988349723,2.49778076824511,-1.93483247705358,-6.05003971945781,2.02581051259133,NA,NA,-123.689487635121,47.3423221219025
11,-4.13006133683605,-7.93842615518068,-0.561652570128008,0.733877093122358,-0.812137749395007,2.35690384733379,-1.95072400828289,-5.6548643584253,1.54407356312221,NA,NA,-122.424349185026,47.5965515324135
12,-4.09378262350457,-7.59934903379141,-0.74872832800254,0.847609623573709,-0.424841760425116,2.22396144348463,-1.82060639383142,-5.10640926646626,1.20809066063329,NA,NA,-121.149526306278,47.839361849303
13,-3.80498978678495,-6.82823821245102,-0.807458101090449,0.951304406644177,0.0586308413515262,1.99215387719628,-0.854091341268705,-3.4872917353187,1.61448787171544,NA,NA,-119.865365081081,48.0705979891592
14,-3.44806560693831,-6.19446989929937,-0.79143018969849,0.958482118016908,-0.118313896709244,2.15703701206092,0.652876812417982,-1.61283781339939,2.97271316646442,NA,NA,-118.572236234479,48.2901120225146
15,-3.59359160568124,-6.24319104312379,-1.10765462016,1.03416639716925,0.254613472856551,1.86985134765357,1.15947593401268,-0.664025357453139,3.15617599364024,NA,NA,-117.270533071915,48.4977609801067
16,-3.37484609889819,-5.95610151189872,-0.91120632413561,0.0879901816908946,-0.879368509798671,1.09334960314893,-0.670836981393231,-2.86696549772989,1.4056408284422,NA,NA,-115.960661041074,48.6933941718837
17,-3.65442876752298,-6.21058025146712,-1.17898297412856,0.181232561617774,-0.601558983948046,0.981925667829135,-2.04608641209681,-4.88302916564059,0.560958687258191,NA,NA,-114.643049676115,48.8768826533956
18,-3.08155603107974,-5.66384482070321,-0.543581412476742,0.151127808514884,-0.56985789106948,0.88316014348139,-0.938817967621629,-3.62166445089431,1.70077481690459,NA,NA,-113.318137223694,49.0480950400485
19,-3.4077187989372,-6.21455547416866,-0.688491948077884,-0.150373712028376,-1.59967198221826,1.26041914535142,-0.706337429766818,-3.96617244759661,2.58098476912016,NA,NA,-111.986386874357,49.2069044582452
20,-3.96823413829227,-6.67123538488845,-1.48353143865042,-0.386243928819745,-2.00684312860658,1.15896482695874,-0.423396868767613,-3.73987884767311,3.02864230482916,NA,NA,-110.648254645755,49.3531978006547
21,-3.96071627802226,-7.39942123645833,-0.680420123607057,-0.367894887856473,-2.3077094011691,1.51093867969748,-0.56049285787214,-4.64866398586892,3.57065353704494,NA,NA,-109.304253844539,49.4868615079761
22,-1.4669646726786,-5.05201583469912,2.15141723604717,0.426487205668402,-1.75606825983829,2.7570573151733,-1.23573792392227,-3.35768147435766,0.880719695137177,NA,NA,-68.9418484895862,47.4708524086458
23,-1.33214518130503,-4.89474459539441,2.35408288987361,0.691121075185253,-1.49351854047494,3.02736221163977,-1.25524034211483,-3.39462505967466,0.928494246179991,NA,NA,-67.6816786508927,47.210973594439
24,-4.13095303489224,-8.3622082578134,-0.15743542578161,0.541678933136639,-1.40714860771836,2.54116639715816,-1.89461815676251,-6.32434335723955,2.37530871392822,NA,NA,-124.556771259415,46.2151445142847
25,-4.14445467204568,-8.01295387627493,-0.505922972343155,0.559446048071935,-1.14480362357463,2.33427812346096,-1.93848804584881,-5.87852323526629,1.81061818785612,NA,NA,-123.316508091049,46.476464425411
26,-4.19448927820646,-7.83988158391144,-0.78962051075573,0.594959286184456,-0.918435151778786,2.17836477592105,-2.06210134887676,-5.55680886132911,1.24036321132376,NA,NA,-122.066597318278,46.7266416222802
