"site_id","model_i","cell50","cell100","year","psi_mean","psi_q025","psi_q975","lon","lat"
952,887,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.11209,47.08567
953,888,231,60,2019,0.194600871185402,0.0310484429228645,0.544429534432712,-113.05653,47.04922
954,889,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.08588,47.06378
955,890,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.09731,47.0879
956,891,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.09887,47.05159
957,892,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.0883,47.05059
958,893,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.07108,47.07802
959,894,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.08601,47.07802
960,895,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.07124,47.06007
961,896,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.10805,47.07014
962,897,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.09924,47.08127
963,898,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.09838,47.06623
964,899,231,60,2019,0.331837727850021,0.0704816030675764,0.800816635387146,-113.05164,47.06229
965,900,231,60,2019,0.442199141256203,0.226873625990155,0.754457673770744,-113.08179,47.05593
966,901,231,60,2019,0.194600871185402,0.0310484429228645,0.544429534432712,-113.07418,47.04448
977,902,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.97896,46.86254
978,903,230,59,2019,9.56700316580408e-05,9.65894031423886e-15,3.68143813907067e-05,-114.03002,46.82091
979,904,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.96255,46.87617
980,905,230,59,2019,9.56700316580408e-05,9.65894031423886e-15,3.68143813907067e-05,-114.0057,46.83493
981,906,229,59,2019,0.000290537594800123,4.23812855893102e-08,0.00135916863011696,-114.06136,46.81736
982,907,229,59,2019,0.0113265392864258,4.13833207107361e-05,0.0368518339350076,-114.17403,46.89771
983,908,230,59,2019,5.82488681895444e-05,0,1.25753706448073e-07,-114.06057,46.87191
984,909,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.97624,46.84881
985,910,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.97487,46.88117
986,911,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.99052,46.86875
987,912,230,59,2019,5.82488681895444e-05,0,1.25753706448073e-07,-114.05781,46.86777
988,913,230,59,2019,9.56700316580408e-05,9.65894031423886e-15,3.68143813907067e-05,-114.01799,46.81645
989,914,230,59,2019,7.63564200736059e-05,0,6.80351236536643e-06,-113.94162,46.86262
990,915,230,59,2019,9.56700316580408e-05,9.65894031423886e-15,3.68143813907067e-05,-114.01406,46.81915
7904,916,657,170,2019,0.115698053144938,0.0152871893044623,0.465083847106151,-114.61059,43.85301
7905,917,657,170,2019,0.115698053144938,0.0152871893044623,0.465083847106151,-114.61117,43.83749
7906,918,657,170,2019,0.109138909111629,0.0120527204714688,0.470687763420687,-114.63296,43.87335
