"rep_id","scenario","abundance","estimator","row_id","tvb_true","tvb_mean","tvb_bias","tvb_ci_width","tvb_covered","tvb_detected","year_beta_mean","year_var_mean","tri_mean","tri_fires","disc_spearman","disc_auc","disc_rmse","elapsed_sec","status","n_arrays","mean_prop_detect","frac_saturated"
1,"null","bobcat_like","array_rn",541,0,-0.268809227994819,-0.268809227994819,1.29647206308871,1,0,0.213377024951747,-0.482186252946567,0.071875,0,0.677050630328589,0.839677657241553,2.4298746680912,1751.21522855759,"OK",97,0.1223,0
2,"null","bobcat_like","array_rn",542,0,0.0622293513538244,0.0622293513538244,0.746818870219868,1,0,0.0876669918866459,-0.0254376405328215,0.1625,0,0.0703905034413509,0.48263113974655,2.73014481006074,1785.63578248024,"OK",97,0.1257,0.0103
3,"null","bobcat_like","array_rn",543,0,0.060297093393526,0.060297093393526,0.838993571325437,1,0,0.0460763798422604,0.0142207135512656,0.16,0,0.721004061802855,0.850433736342642,3.06623301813616,2471.42929792404,"OK",97,0.1543,0.0206
4,"null","bobcat_like","array_rn",544,0,0.132072457670862,0.132072457670862,0.914754186984795,1,0,0.0623879263545896,0.0696845313162723,0.178875,0,-0.12973904183399,0.467270857187215,3.30506384949345,2254.97115278244,"OK",97,0.1313,0.0103
5,"null","bobcat_like","array_rn",545,0,-0.107717825922102,-0.107717825922102,0.964697797392101,1,0,-0.207042243748118,0.0993244178260154,0.167,0,0.457729482131317,0.696156533214306,2.27801100033532,2253.6865735054,"OK",97,0.128,0
6,"null","bobcat_like","array_rn",546,0,-0.158519710529148,-0.158519710529148,0.835289895217523,1,0,-0.0812116136838511,-0.0773080968452965,0.196375,0,0.2004489041301,0.558622329173863,3.50103977755615,2723.94505548477,"OK",97,0.1526,0.0309
7,"null","bobcat_like","array_rn",547,0,0.00429373781155891,0.00429373781155891,0.993206317754268,1,0,0.14522937131657,-0.140935633505012,0.136375,0,0.533052407183999,0.744110112752043,2.49305162470081,2641.3167924881,"OK",97,0.1348,0.0103
8,"null","bobcat_like","array_rn",548,0,-0.0982016795063616,-0.0982016795063616,0.740142518934285,1,0,-0.0235437629857729,-0.0746579165205887,0.179,0,0.215112898396485,0.565676609287974,2.5700276212383,2479.06387209892,"OK",97,0.1358,0.0103
9,"null","bobcat_like","array_rn",549,0,0.101441734932014,0.101441734932014,1.14083261529424,1,0,0.422627152659443,-0.321185417727429,0.11825,0,0.41276172602665,0.675997981719032,3.40000987999228,2372.72731113434,"OK",97,0.1718,0.0103
10,"null","bobcat_like","array_rn",550,0,0.100094202551635,0.100094202551635,0.938633797579892,1,0,-0.00498882370240031,0.105083026254036,0.1405,0,0.218073640147699,0.55758407886821,2.57038941203703,2380.35725092888,"OK",97,0.1386,0.0103
11,"null","bobcat_like","array_rn",551,0,0.225382067625398,0.225382067625398,1.02219801031921,1,0,0.0974822851972043,0.127899782428194,0.201125,0,-0.367482112946662,0.330294591395137,3.07059698423911,2407.80702733994,"OK",97,0.1544,0.0103
12,"null","bobcat_like","array_rn",552,0,-0.561622851372539,-0.561622851372539,0.971593092572664,0,1,-0.519784652745443,-0.0418381986270955,0.404375,0,0.60965441871038,0.781205728812902,3.88843589022577,2741.23642873764,"OK",97,0.1567,0
13,"null","bobcat_like","array_rn",553,0,0.156623012382664,0.156623012382664,0.906913767986431,1,0,0.0745027543090427,0.0821202580736209,0.19625,0,0.329238076584155,0.614906169341536,2.76487796394588,2542.24787116051,"OK",97,0.1193,0.0206
14,"null","bobcat_like","array_rn",554,0,-0.282447450324232,-0.282447450324232,0.922328536333621,1,0,-0.0030237581625581,-0.279423692161674,0.14325,0,0.58833303542216,0.760261212132974,2.99854535530019,1481.34071516991,"OK",97,0.1361,0.0103
