"estimator","abundance","scenario","n_rep","detect_rate","bias","ci_width","coverage","tri_rate","auc","spearman","field_rmse","elapsed_med"
"array_occ","bobcat_like","null",30,0,-0.0282411656134753,5.10636234323867,1,0,0.618908122934011,0.250284869177776,18.5604504409127,2598.04783976078
"array_rn","bobcat_like","null",30,0,-0.0736828133864886,0.910124955937905,1,0,0.619093617186439,0.285854497810325,3.04160783822797,1830.84122216702
"camera_occ","bobcat_like","null",30,0,-0.0904334867469559,1.72828652637979,1,0,0.702189705473293,0.454329121695932,1.75299964323608,2300.71726250648
"camera_rn","bobcat_like","null",30,0,-0.0638442831248905,0.827585472283366,1,0,0.659609152127928,0.365852091865686,1.15379205767918,2126.95152318478
"array_occ","deer_like","null",30,0.0333333333333333,-0.0934554135898191,2.18992523926925,0.966666666666667,0,0.867258081209934,0.758300961307609,15.4989922331784,1899.80194973946
"array_rn","deer_like","null",30,0.0666666666666667,-0.0382362438867427,0.342305081386628,0.933333333333333,0,0.816023824771811,0.674653749926377,2.42918870777965,1911.98286426067
"camera_occ","deer_like","null",30,0.0333333333333333,-0.0360381530716321,1.26212436669317,0.966666666666667,0,0.859007872589545,0.750927749254874,3.53867762255822,2219.93350434303
"camera_rn","deer_like","null",30,0.133333333333333,-0.0321173254700042,0.259364035722728,0.866666666666667,0,0.824406483080725,0.686561752989602,0.983007367340913,2281.21108973026
"array_occ","intermediate","null",30,0,0.0820298498440497,4.17302300731568,1,0,0.813315802751848,0.660522315363612,23.2965763616883,1844.76906013489
"array_rn","intermediate","null",30,0.0333333333333333,-0.0187427464746972,0.533738101339793,0.966666666666667,0,0.729662584822786,0.513933368381644,2.83820050448369,2339.95524466038
"camera_occ","intermediate","null",30,0.0666666666666667,-0.00920006511336572,1.24657718636371,0.933333333333333,0,0.809641011210516,0.66276571393813,1.87203440087817,2798.03730392456
"camera_rn","intermediate","null",30,0.1,-0.0166268336826221,0.413639226635684,0.9,0,0.749060884809201,0.553747492006558,1.08375411596862,2745.08710193634
"array_occ","bobcat_like","varying",30,0,-0.409892444429268,5.41828520468361,1,0,0.69731866198322,0.419035431852128,17.0663469612245,2531.97276425362
"array_rn","bobcat_like","varying",30,0.166666666666667,0.1093994677608,1.04780524341983,0.866666666666667,0,0.631333165143253,0.301709631303411,3.15689147909786,1985.33692169189
"camera_occ","bobcat_like","varying",30,0.166666666666667,-0.121524386869207,2.31728724658431,0.966666666666667,0,0.636993569963839,0.336702296479715,2.23159256207682,1950.54256486893
"camera_rn","bobcat_like","varying",30,0.233333333333333,0.00533738320596941,0.87950260361379,0.866666666666667,0,0.656597579356608,0.362152887330464,1.21743389507695,2444.79799032211
"array_occ","deer_like","varying",30,0.466666666666667,-0.832293250408849,3.1915719199312,0.8,0,0.869530264511246,0.760965622471839,18.7964435441523,1915.72805166245
"array_rn","deer_like","varying",30,0.633333333333333,0.00289240492344719,0.339503451591007,0.966666666666667,0,0.820416011695679,0.681907640418953,2.4781652758635,2158.12905418873
"camera_occ","deer_like","varying",30,0.666666666666667,-0.471847351879952,1.67048723027982,0.8,0,0.848309366246838,0.735545111806617,3.66790416400148,2736.12354826927
"camera_rn","deer_like","varying",30,0.533333333333333,0.0524785464576535,0.25210833502675,0.833333333333333,0,0.819061434661388,0.68116932510779,1.03332902168432,2583.23529279232
"array_occ","intermediate","varying",30,0.166666666666667,-0.744386807350254,4.50127403693173,0.866666666666667,0,0.786951845886135,0.601380411003716,26.0654298629341,2272.29778182507
"array_rn","intermediate","varying",30,0.266666666666667,0.00475299042868619,0.533856838408423,0.9,0,0.732291686881821,0.518312248002773,2.8613410321221,2366.80014145374
"camera_occ","intermediate","varying",30,0.4,-0.336726561292986,1.4763189423337,0.833333333333333,0,0.778255771830749,0.607482468591317,1.99085908412817,2714.36904740334
"camera_rn","intermediate","varying",30,0.366666666666667,0.025974400959623,0.425078759509084,0.9,0,0.765282171204564,0.587391032863516,1.07357212138467,2738.44242572784
