"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"total_var_beta",0.176926500898557,0.176371671469984,0.0215739046022922,0.13621707274349,0.220685389567046,0,0,1.00351630437916,"white-tailed_deer_v2b_national_scalar"
"year_beta",0.154716724514254,0.154981758260941,0.0194072688166756,0.115982302592983,0.192038181226312,0,0,1.00032608632054,"white-tailed_deer_v2b_national_scalar"
"year_var",0.0222097763843026,0.0204768779422263,0.0280587089654316,-0.0295785684253503,0.0801826140763975,0.214506666666667,0,1.00230404963104,"white-tailed_deer_v2b_national_scalar"
"trend_robust_indicator",0.78364,1,0.411763865255163,0,1,0,0,1.00099727696253,"white-tailed_deer_v2b_national_scalar"
"snr_derived",NA,3.92794993063083,NA,1.7002176663909,8.75874493057506,0.214506666666667,0,NA,"white-tailed_deer_v2b_national_scalar"
