"ecoregion","role","n_reps","rmse","bias","coverage","mean_inat_count","mean_n_cell50"
"NORTH AMERICAN DESERTS","FOCAL (iNat x0.10)",30,0.089976208934548,-0.0472882390718174,1,1.9,27
"MARINE WEST COAST FOREST","COMPARISON (iNat x1)",30,0.136655375356442,0.0838725333029223,1,462.766666666667,27
