species,raw_2008,raw_2025,pct_incl_2008,pct_incl_2025,pct_excl_2008,pct_excl_2025,delta_incl,delta_excl
eastern_gray_squirrel,147.0,44274.0,5.253752680486062,11.986841927143264,5.545077329309694,13.619374863495558,6.733089246657202,8.074297534185863
white-tailed_deer,178.0,44478.0,6.36168691922802,12.042073344072776,6.793893129770992,13.690719872444031,5.680386424844756,6.896826742673039
eastern_fox_squirrel,61.0,19237.0,2.1801286633309505,5.208268468005036,2.228717573986116,5.4944333053427705,3.0281398046740855,3.2657157313566545
coyote,65.0,13004.0,2.3230879199428163,3.520732087016556,2.3783388218075374,3.6492110306972623,1.1976441670737397,1.2708722088897249
northern_raccoon,91.0,16308.0,3.252323087919943,4.415264447482774,3.361654968599926,4.619215005367558,1.162941359562831,1.2575600367676314
virginia_opossum,21.0,6861.0,0.7505360972122944,1.8575625076146254,0.7562117392870004,1.892720982967994,1.107026410402331,1.1365092436809938
eastern_chipmunk,60.0,11906.0,2.1443888491779846,3.2234571076606517,2.191380569758948,3.3308248169668957,1.0790682584826672,1.1394442472079476
california_ground_squirrel,35.0,7229.0,1.250893495353824,1.957195651879628,1.2667390517553385,1.9962664928781695,0.7063021565258041,0.729527441122831
groundhog,40.0,7433.0,1.4295925661186561,2.0124270688091404,1.4503263234227701,2.053757439448279,0.5828345026904842,0.603431116025509
nine-banded_armadillo,17.0,3404.0,0.6075768406004289,0.9216065844512731,0.6112909025530385,0.9301791769936412,0.31402974385084415,0.31888827444060264
douglas_s_squirrel,10.0,2397.0,0.35739814152966404,0.648969148921769,0.3586800573888092,0.6532082690662147,0.291571007392105,0.29452821167740545
grey_fox,15.0,2958.0,0.5360972122944961,0.8008555454779277,0.5389867049946101,0.8073210206415447,0.26475833318343156,0.26833431564693455
striped_skunk,27.0,4413.0,0.9649749821300929,1.1947855044604783,0.9743774810537712,1.2092332480229735,0.22981052233038535,0.2348557669692023
western_gray_squirrel,12.0,1733.0,0.42887776983559683,0.4691963016610037,0.4307250538406317,0.4714081311782211,0.040318531825406845,0.04068307733758941
white-tailed_antelope_squirrel,5.0,655.0,0.17869907076483202,0.17733616710211042,0.17901897601145722,0.17765120694331435,-0.0013629036627215985,-0.0013677690681428711
kit_fox,2.0,63.0,0.07147962830593281,0.017056761110584667,0.07153075822603719,0.017059670937902796,-0.05442286719534814,-0.05447108728813439
rock_squirrel,21.0,2540.0,0.7505360972122944,0.6876852892203977,0.7562117392870004,0.6924471463816911,-0.06285080799189668,-0.06376459290530923
fisher,9.0,333.0,0.32165832737669764,0.09015716587023324,0.32269630692004303,0.09023852236452028,-0.23150116150646438,-0.23245778455552274
pronghorn,25.0,2399.0,0.8934953538241601,0.6495106334014701,0.9015506671474938,0.6537568536827304,-0.24398472042269004,-0.24779381346476337
puma,11.0,463.0,0.39313795568263044,0.12535365705080478,0.3946896304269824,0.1255109896663522,-0.2677842986318256,-0.2691786407606302
american_badger,12.0,458.0,0.42887776983559683,0.12399994585155204,0.4307250538406317,0.1241538966161286,-0.3048778239840448,-0.3065711572245031
grey_wolf,11.0,178.0,0.39313795568263044,0.04819211869339795,0.3946896304269824,0.048215354694360696,-0.3449458369892325,-0.3464742757326217
mule_deer,158.0,19408.0,5.646890636168692,5.25456539101948,5.984848484848484,5.54598267737686,-0.39232524514921163,-0.4388658074716245
red_squirrel,100.0,11543.0,3.5739814152966405,3.125177674594902,3.7064492216456637,3.225995774317239,-0.44880374070173845,-0.48045344732842477
snowshoe_hare,28.0,2032.0,1.0007147962830594,0.5501482313763182,1.0108303249097472,0.553191605208495,-0.4505665649067412,-0.45763871970125225
black-tailed_jackrabbit,26.0,1683.0,0.9292351679771265,0.4556591896684762,0.937950937950938,0.4577449465828238,-0.4735759783086503,-0.4802059913681142
bobcat,39.0,3224.0,1.3938527519656898,0.872872981278174,1.4135556361000363,0.8805591441314721,-0.5209797706875158,-0.5329964919685642
collared_peccary,26.0,1173.0,0.9292351679771265,0.3175806473446955,0.937950937950938,0.3185924352629949,-0.611654520632431,-0.6193585026879431
brown_bear,25.0,340.0,0.8934953538241601,0.0920523615491871,0.9015506671474938,0.09213717599555574,-0.8014429922749731,-0.8094134911519381
red_fox,72.0,6330.0,2.573266619013581,1.7137983782539834,2.641232575201761,1.743681564630535,-0.8594682407595977,-0.8975510105712259
north_american_porcupine,48.0,2682.0,1.7155110793423873,0.7261306872791758,1.7454545454545456,0.731441911457893,-0.9893803920632115,-1.0140126339966526
golden_mantled_ground_squirrel,52.0,2813.0,1.858470335954253,0.761597920699598,1.8936635105608157,0.7674427487163817,-1.096872415254655,-1.126220761844434
american_black_bear,73.0,5503.0,2.6090064331665475,1.4898945458975783,2.6788990825688073,1.5124281301188396,-1.1191118872689692,-1.1664709524499677
elk,68.0,4794.0,2.4303073624017157,1.297938297843538,2.490842490842491,1.3150062678125196,-1.1323690645581777,-1.1758362230299713
moose,102.0,4106.0,3.6454610436025736,1.1116676368263594,3.783382789317508,1.1241646109914059,-2.5337934067762142,-2.659218178326102
