"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-4.2423766229149,-9.75305745166052,0.872118754518904,0.801070933055279,-1.77118028240885,3.43235657638906,-1.78341583433372,-7.42798361696117,3.64408859800753,-1975000,3210000,-123.169325592467,49.3418514172384
2,-4.24771139006177,-9.12117435207664,0.232673727080367,0.627436070414848,-1.66924639552446,2.9545651618897,-1.74960600788868,-6.71182686080264,3.03142565970691,-2175000,3110000,-125.34278383401,47.9398318622962
3,-4.24567130766013,-8.67717999354841,-0.194563621403506,0.681493384296376,-1.28371210891681,2.68385222112414,-1.76073352784646,-6.096735779239,2.370178442587,-2075000,3110000,-124.072494736524,48.2097010749556
4,-4.23802569279941,-8.36655158950824,-0.474973409216952,0.802813576155031,-0.854005338718827,2.52573677836651,-1.78740196777175,-5.57906545569537,1.75344108465254,-1975000,3110000,-122.791789339332,48.4681839714966
5,-4.21773303296676,-7.93504922846909,-0.732592738887702,1.03559346788026,-0.0220505018587771,2.30963652497678,-1.84115632926197,-4.82391800660214,0.465222316457269,-1875000,3110000,-121.501009306634,48.7151138832371
6,-3.2023028839531,-6.26032416214792,-0.279146125421231,0.738235335047555,0.178929938781651,1.23922227554421,-0.217734650883834,-5.00610392448247,2.71558597505906,-1775000,3110000,-120.200515518212,48.950330479974
7,-4.34236500975242,-7.21987582308983,-1.52840739585443,0.544592559448044,-0.637099924431507,1.74584972654028,-1.06631398875129,-4.08319337345848,1.82079104455338,-1675000,3110000,-118.890692449359,49.173665496168
8,-3.47403763924244,-6.66781311311136,-0.387368851239718,-0.0979372324871669,-1.3863915388473,1.4103866506666,-0.0149629380999843,-2.9425485419098,2.69654792479461,-1575000,3110000,-117.57193502443,49.3849715064046
9,-4.25141797602883,-8.70675062511782,-0.135117871878874,0.577299870649477,-1.50384283062233,2.64224648421807,-1.73272433770487,-6.21517100249821,2.53579948617444,-2175000,3010000,-124.944602195595,47.0768315721678
10,-4.25727302277542,-8.37254467435856,-0.505887284281716,0.615516373497415,-1.1778936496587,2.42975843276952,-1.74899998064963,-5.67360968321861,1.98793812441929,-2075000,3010000,-123.689487635121,47.3423221219025
11,-4.2581063387973,-8.07405247750777,-0.732085412534694,0.69387708892873,-0.850192354435489,2.2898084041736,-1.76030999886397,-5.22473811211941,1.53704147005505,-1975000,3010000,-122.424349185026,47.5965515324135
12,-4.22491949236395,-7.76306375259293,-0.918668302630203,0.815734449215559,-0.451736373347529,2.15939929359469,-1.6340566376441,-4.64383629534352,1.22629512234416,-1875000,3010000,-121.149526306278,47.839361849303
13,-3.89313486408775,-6.94254933758799,-0.974448857980193,0.913482451868316,0.0435807388034127,1.90602091055052,-0.719827273562913,-3.12087096856565,1.64480633860093,-1775000,3010000,-119.865365081081,48.0705979891592
