cell50,x50,y50,lon,lat
885,-2300000,2335000,-123.94837058608,40.9584414761506
893,-1900000,2335000,-119.298958188704,41.9106602041234
894,-1850000,2335000,-118.70919625547,42.0177989548729
909,-1100000,2335000,-109.670705371682,43.2958576721997
919,-600000,2335000,-103.493043020247,43.793925111338
921,-500000,2335000,-102.248156942157,43.8586763573586
936,250000,2335000,-92.8725416631377,43.9692105240072
943,600000,2335000,-88.5069541418784,43.7939219834206
949,950000,2335000,-84.1728035514061,43.4755722024465
953,1350000,2335000,-79.2803014596892,42.9394352434673
957,1550000,2335000,-76.8655855712035,42.603790451948
958,1600000,2335000,-76.2656750074016,42.5129541266567
961,1750000,2335000,-74.475655236044,42.2240089571719
964,1900000,2335000,-72.7010412022829,41.9106602199159
966,2000000,2335000,-71.527031333273,41.6883761753918
967,2050000,2335000,-70.9428545276003,41.573256838562
991,-1300000,2285000,-112.009070954656,42.5752926426614
1005,-600000,2285000,-103.444234216972,43.347298663589
1025,400000,2285000,-91.0315341763751,43.46422103599
1026,450000,2285000,-90.4118270301657,43.4393564197164
1027,500000,2285000,-89.7925944872258,43.4115773647962
1028,550000,2285000,-89.1738906518439,43.380889171782
1029,600000,2285000,-88.555765374689,43.3472957229288
1030,650000,2285000,-87.9382704441646,43.3108027869717
1033,850000,2285000,-85.4756134758829,43.1359293363155
1039,1350000,2285000,-79.3874457051549,42.4988997844457
1042,1500000,2285000,-77.585251698451,42.25304712339
1053,-2350000,2235000,-124.171254284613,39.9744593789265
1054,-2300000,2235000,-123.60534078737,40.1035365288595
1058,-2100000,2235000,-121.321792456882,40.5943181229692
1072,-1400000,2235000,-113.105238751938,41.9799045445942
1082,-900000,2235000,-107.066242805251,42.6405779292044
1110,500000,2235000,-89.8328215782781,42.96480648965
1111,550000,2235000,-89.2181007242988,42.9343386810115
1112,600000,2235000,-88.6039467784915,42.9009856838597
1113,650000,2235000,-87.990410375009,42.8647544486037
1115,850000,2235000,-85.5434544057167,42.6911257374778
1116,900000,2235000,-84.9337564388829,42.6405757185643
1117,950000,2235000,-84.3249701850943,42.5871798551574
1118,1000000,2235000,-83.7171468787503,42.5309461748277
1119,1050000,2235000,-83.1103336439512,42.471882566502
1124,1400000,2235000,-78.8947667250941,41.9799021322542
1125,1450000,2235000,-78.2976662627463,41.8985075500649
1130,1700000,2235000,-75.3341450408351,41.4505214324453
1131,1750000,2235000,-74.7461199639167,41.3527986032127
1132,1800000,2235000,-74.1597447856239,41.2523936507265
1133,1850000,2235000,-73.5750583174482,41.1493181708023
1134,1900000,2235000,-72.9920957354453,41.0435852080352
1135,1950000,2235000,-72.4108940956281,40.9352060874148
1137,-2350000,2185000,-123.999733566185,39.5476014243938
1139,-2250000,2185000,-122.872026185297,39.8016610788641
1141,-2150000,2185000,-121.736486761354,40.0455463375169
1142,-2100000,2185000,-121.165859601791,40.1636379445593
1143,-2050000,2185000,-120.5933676963,40.2791471199882
1181,-150000,2185000,-97.8405623081411,42.6495862104452
1195,550000,2185000,-89.261742258933,42.4880754171291
1197,650000,2185000,-88.0418840833571,42.4189802935566
1198,800000,2185000,-86.2171401979068,42.2939366923422
1199,850000,2185000,-85.6104297937401,42.2465707436581
1200,900000,2185000,-85.0045698392715,42.1963720145552
1202,1000000,2185000,-83.7955837721266,42.0875020684083
1203,1050000,2185000,-83.1925519273141,42.0288463977796
1204,1200000,2185000,-81.3898624063219,41.8360906829731
1206,1300000,2185000,-80.1938461996531,41.6936764720709
1214,1700000,2185000,-75.4634494854672,41.0143517367744
1216,1800000,2185000,-74.2958924208644,40.8175149955055
1217,1850000,2185000,-73.7145828935485,40.7151053020187
1218,1900000,2185000,-73.1349664689371,40.6100518431325
1219,-2350000,2135000,-123.830233530299,39.1205681970955
1222,-2200000,2135000,-122.144877109365,39.4955768845533
1223,-2150000,2135000,-121.57926455611,39.6155017361316
1226,-2000000,2135000,-119.871375321286,39.9598667120816
1239,-1350000,2135000,-112.29913232838,41.1782303243797
1241,-1250000,2135000,-111.112828967095,41.3251903546144
1245,-1050000,2135000,-108.726262102664,41.5859977329736
1270,200000,2135000,-93.5618900060397,42.1924198052216
1279,650000,2135000,-88.0927013306653,41.9734507245703
1280,700000,2135000,-87.4875816836113,41.9348858584509
1285,950000,2135000,-84.4732955827634,41.6997127497671
1287,1050000,2135000,-83.273734123734,41.585994584106
1289,1150000,2135000,-82.0782445470137,41.4611294598724
1290,1200000,2135000,-81.4821354246067,41.3945374921267
1292,1300000,2135000,-80.2934039017085,41.253078169042
1296,1500000,2135000,-77.9310948390466,40.9372949487497
1300,1700000,2135000,-75.5911694571375,40.5782091623732
1302,1800000,2135000,-74.4303823905334,40.3826345666706
1304,-2350000,2085000,-123.662716044885,38.6933460818684
1306,-2250000,2085000,-122.547090622224,38.9443874232071
1310,-2050000,2085000,-120.293400057119,39.416072726905
1311,-2000000,2085000,-119.725476401272,39.5275919034267
1318,-1650000,2085000,-115.703309541626,40.2352662150786
1324,-1350000,2085000,-112.197242137904,40.7382216136144
1325,-1300000,2085000,-111.60827506494,40.8125836018646
1326,-1250000,2085000,-111.018094906379,40.8842168298241
1334,-850000,2085000,-106.258145661708,41.3580770848031
1355,200000,2085000,-93.5774241597198,41.7456014872017
1356,250000,2085000,-92.972157468499,41.7327933325977
1359,400000,2085000,-91.1579926387,41.6772992006161
1360,450000,2085000,-90.5539927797859,41.653124463658
1364,650000,2085000,-88.1428750788689,41.528134059689
1366,750000,2085000,-86.9409155461556,41.4487173717973
1368,850000,2085000,-85.7418522967221,41.3580737639751
1375,1200000,2085000,-81.5732570930706,40.9531066939875
1383,1600000,2085000,-76.8775365242361,40.3258043934526
