"site_id","model_i","cell50","cell100","year","psi_mean","psi_q025","psi_q975","lon","lat"
49,13707,2529,674,2015,0.124982929386654,0.0526721288937756,0.232533072668098,-116.16602,33.17911
344,13930,2285,628,2015,0.0143424279459919,0.0092003794956909,0.0210533883817514,-78.69674,35.73825
556,13947,2208,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.94582,35.85892
558,13949,2208,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.94582,35.85892
561,13952,2208,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.94583,35.85892
563,13954,2208,590,2015,0.693357386284668,0.582090214160143,0.814090129229467,-75.89115,35.77115
565,13956,2208,590,2015,0.664052832215149,0.544997949237228,0.78278411208653,-75.934,35.8192
567,13958,2208,590,2015,0.664052832215149,0.544997949237228,0.78278411208653,-75.934,35.8192
568,13959,2208,590,2015,0.664052832215149,0.544997949237228,0.78278411208653,-75.934,35.8192
571,13962,2208,590,2015,0.664052832215149,0.544997949237228,0.78278411208653,-75.934,35.8019
575,13966,2208,590,2015,0.664437208779018,0.547850468565658,0.784636975947576,-75.93803,35.77122
576,13967,2208,590,2015,0.664437208779018,0.547850468565658,0.784636975947576,-75.93803,35.77122
577,13968,2208,590,2015,0.664437208779018,0.547850468565658,0.784636975947576,-75.93803,35.77122
579,13970,2127,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.92433,35.86247
581,13972,2127,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.92433,35.86247
583,13974,2127,590,2015,0.708560276848307,0.593620759631297,0.827411536088938,-75.92433,35.86247
586,13977,2208,590,2015,0.658934057316008,0.542226267500721,0.779630050863649,-75.89612,35.82597
587,13978,2208,590,2015,0.658934057316008,0.542226267500721,0.779630050863649,-75.89612,35.82597
588,13979,2208,590,2015,0.658934057316008,0.542226267500721,0.779630050863649,-75.89612,35.82597
591,13982,2127,590,2015,0.737724319150659,0.624448106972879,0.854162132048775,-75.90123,35.862
593,13984,2127,590,2015,0.737724319150659,0.624448106972879,0.854162132048775,-75.90123,35.862
594,13985,2127,590,2015,0.737724319150659,0.624448106972879,0.854162132048775,-75.90123,35.862
597,13988,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.8509,35.85303
599,13990,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.8509,35.85303
600,13991,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.8509,35.85303
601,13992,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.8509,35.85303
604,13995,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.82997,35.84247
605,13996,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.82997,35.84247
607,13998,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.82997,35.84247
608,13999,2127,590,2015,0.789821077672117,0.676125869687435,0.902775019836538,-75.82997,35.84247
666,14018,2286,629,2015,0.181536671713481,0.116321768563376,0.258508794940197,-77.97719,35.5204
667,14019,2286,629,2015,0.181536671713481,0.116321768563376,0.258508794940197,-77.97451,35.52044
668,14020,2286,629,2015,0.181536671713481,0.116321768563376,0.258508794940197,-77.97579,35.51977
1062,14044,1715,462,2015,0.173278095728801,0.131655927183405,0.222990460861767,-78.22722,38.59778
1063,14045,1715,462,2015,0.173278095728801,0.131655927183405,0.222990460861767,-78.23417,38.6055
1068,14046,1716,462,2015,0.181101873311393,0.134892862135916,0.234970389554978,-78.145,38.76694
1069,14047,1716,462,2015,0.181101873311393,0.134892862135916,0.234970389554978,-78.14668,38.7645
1070,14048,1716,462,2015,0.181101873311393,0.134892862135916,0.234970389554978,-78.14945,38.76339
