"year","species","raw_count","pct_grid_masked"
2008,"moose",32,0.8523
2009,"moose",30,0.8549
2010,"moose",20,0.8626
2011,"moose",34,0.8673
2012,"moose",33,0.8566
2013,"moose",49,0.8813
2014,"moose",81,0.8633
2015,"moose",84,0.872
2016,"moose",134,0.8821
2017,"moose",226,0.8769
2018,"moose",401,0.8737
2019,"moose",562,0.8735
2020,"moose",688,0.8779
2021,"moose",799,0.8736
2022,"moose",909,0.8783
2023,"moose",933,0.8792
2024,"moose",1157,0.8796
2025,"moose",1120,0.8796
2008,"white-tailed_antelope_squirrel",5,0.8782
2009,"white-tailed_antelope_squirrel",11,0.8706
2010,"white-tailed_antelope_squirrel",9,0.8883
2011,"white-tailed_antelope_squirrel",12,0.8696
2012,"white-tailed_antelope_squirrel",19,0.8857
2013,"white-tailed_antelope_squirrel",8,0.8742
2014,"white-tailed_antelope_squirrel",23,0.882
2015,"white-tailed_antelope_squirrel",38,0.8812
2016,"white-tailed_antelope_squirrel",44,0.8925
2017,"white-tailed_antelope_squirrel",105,0.8932
2018,"white-tailed_antelope_squirrel",158,0.8904
2019,"white-tailed_antelope_squirrel",155,0.8898
2020,"white-tailed_antelope_squirrel",306,0.8885
2021,"white-tailed_antelope_squirrel",601,0.8867
2022,"white-tailed_antelope_squirrel",552,0.8862
2023,"white-tailed_antelope_squirrel",517,0.8806
2024,"white-tailed_antelope_squirrel",617,0.8803
2025,"white-tailed_antelope_squirrel",587,0.8779
2008,"pronghorn",20,0.7938
2009,"pronghorn",33,0.7882
2010,"pronghorn",29,0.7975
2011,"pronghorn",39,0.8021
2012,"pronghorn",33,0.8094
2013,"pronghorn",48,0.788
2014,"pronghorn",62,0.7984
2015,"pronghorn",124,0.7953
2016,"pronghorn",139,0.8019
2017,"pronghorn",247,0.785
2018,"pronghorn",410,0.7747
2019,"pronghorn",504,0.7705
2020,"pronghorn",649,0.7558
2021,"pronghorn",771,0.7507
2022,"pronghorn",849,0.7463
2023,"pronghorn",1124,0.7443
2024,"pronghorn",1402,0.7355
2025,"pronghorn",1819,0.7342
2008,"coyote",47,0.013
2009,"coyote",90,0.0105
2010,"coyote",60,0.0135
2011,"coyote",124,0.0126
2012,"coyote",156,0.012
2013,"coyote",328,0.0106
2014,"coyote",450,0.0112
2015,"coyote",556,0.0079
2016,"coyote",1183,0.0098
2017,"coyote",1775,0.0093
2018,"coyote",3050,0.0081
2019,"coyote",3902,0.0083
2020,"coyote",5555,0.0075
2021,"coyote",6503,0.0079
2022,"coyote",7387,0.0075
2023,"coyote",7873,0.0077
2024,"coyote",9225,0.0076
2025,"coyote",11457,0.0079
2008,"grey_wolf",4,0.8636
2009,"grey_wolf",3,0.881
2010,"grey_wolf",0,0.8883
2011,"grey_wolf",4,0.889
2012,"grey_wolf",2,0.8756
2013,"grey_wolf",3,0.9033
2014,"grey_wolf",5,0.8887
2015,"grey_wolf",0,0.8865
2016,"grey_wolf",3,0.8914
2017,"grey_wolf",6,0.8825
2018,"grey_wolf",7,0.8794
2019,"grey_wolf",24,0.8795
2020,"grey_wolf",20,0.8782
2021,"grey_wolf",40,0.8747
2022,"grey_wolf",23,0.879
2023,"grey_wolf",17,0.8782
2024,"grey_wolf",37,0.8799
2025,"grey_wolf",17,0.8782
2008,"elk",48,0.7208
2009,"elk",69,0.7268
2010,"elk",51,0.7227
2011,"elk",85,0.7151
2012,"elk",86,0.7362
2013,"elk",95,0.7423
2014,"elk",133,0.7364
2015,"elk",212,0.7434
2016,"elk",333,0.7576
2017,"elk",528,0.7519
2018,"elk",926,0.7564
2019,"elk",1083,0.761
2020,"elk",1392,0.7575
2021,"elk",2034,0.751
2022,"elk",1940,0.7545
2023,"elk",2482,0.7493
2024,"elk",3118,0.7539
2025,"elk",3353,0.7512
2008,"virginia_opossum",16,0.3766
2009,"virginia_opossum",21,0.3712
2010,"virginia_opossum",41,0.3583
2011,"virginia_opossum",54,0.3719
2012,"virginia_opossum",74,0.3611
2013,"virginia_opossum",109,0.3474
2014,"virginia_opossum",188,0.354
2015,"virginia_opossum",264,0.3596
2016,"virginia_opossum",443,0.3592
2017,"virginia_opossum",715,0.361
2018,"virginia_opossum",1588,0.3833
2019,"virginia_opossum",2119,0.3837
2020,"virginia_opossum",3438,0.3955
2021,"virginia_opossum",3794,0.4066
2022,"virginia_opossum",4094,0.4097
2023,"virginia_opossum",4402,0.4142
2024,"virginia_opossum",5231,0.4135
2025,"virginia_opossum",6309,0.4152
2008,"north_american_porcupine",14,0.4854
2009,"north_american_porcupine",20,0.4784
2010,"north_american_porcupine",26,0.4969
2011,"north_american_porcupine",25,0.4817
2012,"north_american_porcupine",38,0.4995
2013,"north_american_porcupine",56,0.4978
2014,"north_american_porcupine",75,0.4877
2015,"north_american_porcupine",121,0.4849
2016,"north_american_porcupine",163,0.4989
2017,"north_american_porcupine",207,0.4958
2018,"north_american_porcupine",385,0.4925
2019,"north_american_porcupine",507,0.4898
2020,"north_american_porcupine",799,0.4764
2021,"north_american_porcupine",1011,0.4688
2022,"north_american_porcupine",976,0.4655
2023,"north_american_porcupine",963,0.463
2024,"north_american_porcupine",1031,0.4543
2025,"north_american_porcupine",1281,0.4513
2008,"snowshoe_hare",10,0.612
2009,"snowshoe_hare",8,0.6078
2010,"snowshoe_hare",12,0.6245
2011,"snowshoe_hare",6,0.6213
2012,"snowshoe_hare",24,0.6229
2013,"snowshoe_hare",24,0.6552
2014,"snowshoe_hare",25,0.6453
2015,"snowshoe_hare",34,0.6522
2016,"snowshoe_hare",82,0.6681
2017,"snowshoe_hare",112,0.6772
2018,"snowshoe_hare",161,0.6876
2019,"snowshoe_hare",224,0.6864
2020,"snowshoe_hare",323,0.6936
2021,"snowshoe_hare",405,0.6923
2022,"snowshoe_hare",475,0.6959
2023,"snowshoe_hare",517,0.6965
2024,"snowshoe_hare",539,0.7036
2025,"snowshoe_hare",619,0.703
2008,"black-tailed_jackrabbit",20,0.5795
2009,"black-tailed_jackrabbit",32,0.5582
2010,"black-tailed_jackrabbit",28,0.5521
2011,"black-tailed_jackrabbit",23,0.5652
2012,"black-tailed_jackrabbit",54,0.5817
2013,"black-tailed_jackrabbit",91,0.5418
2014,"black-tailed_jackrabbit",112,0.5549
2015,"black-tailed_jackrabbit",183,0.5446
2016,"black-tailed_jackrabbit",304,0.5644
2017,"black-tailed_jackrabbit",454,0.5597
2018,"black-tailed_jackrabbit",739,0.5658
2019,"black-tailed_jackrabbit",897,0.5705
2020,"black-tailed_jackrabbit",1288,0.563
2021,"black-tailed_jackrabbit",1173,0.5642
2022,"black-tailed_jackrabbit",1275,0.5598
2023,"black-tailed_jackrabbit",1269,0.5592
2024,"black-tailed_jackrabbit",1916,0.5516
2025,"black-tailed_jackrabbit",1529,0.5481
2008,"bobcat",32,0.1055
2009,"bobcat",41,0.0889
2010,"bobcat",44,0.0834
2011,"bobcat",52,0.087
2012,"bobcat",76,0.0772
2013,"bobcat",174,0.08
2014,"bobcat",229,0.0762
2015,"bobcat",321,0.0728
2016,"bobcat",398,0.0704
2017,"bobcat",590,0.063
2018,"bobcat",1142,0.0623
2019,"bobcat",1406,0.0606
2020,"bobcat",1956,0.0586
2021,"bobcat",2238,0.0577
2022,"bobcat",2036,0.0573
2023,"bobcat",2171,0.0572
2024,"bobcat",2636,0.0562
2025,"bobcat",2996,0.0568
2008,"groundhog",22,0.6218
2009,"groundhog",31,0.6222
2010,"groundhog",35,0.6196
2011,"groundhog",50,0.6247
2012,"groundhog",76,0.6128
2013,"groundhog",107,0.6245
2014,"groundhog",109,0.6109
2015,"groundhog",164,0.6332
2016,"groundhog",270,0.6015
2017,"groundhog",431,0.5998
2018,"groundhog",976,0.5931
2019,"groundhog",1481,0.5928
2020,"groundhog",2732,0.5982
2021,"groundhog",2898,0.6075
2022,"groundhog",3464,0.6064
2023,"groundhog",3549,0.6104
2024,"groundhog",4507,0.6125
2025,"groundhog",5397,0.619
2008,"striped_skunk",18,0.0211
2009,"striped_skunk",39,0.0248
2010,"striped_skunk",15,0.0221
2011,"striped_skunk",41,0.0263
2012,"striped_skunk",44,0.0201
2013,"striped_skunk",109,0.0185
2014,"striped_skunk",161,0.0217
2015,"striped_skunk",234,0.023
2016,"striped_skunk",372,0.0207
2017,"striped_skunk",510,0.0215
2018,"striped_skunk",1037,0.0216
2019,"striped_skunk",1436,0.0205
2020,"striped_skunk",2147,0.0209
2021,"striped_skunk",2374,0.0203
2022,"striped_skunk",2528,0.0182
2023,"striped_skunk",2724,0.0222
2024,"striped_skunk",3172,0.0211
2025,"striped_skunk",3642,0.022
2008,"mule_deer",119,0.5292
2009,"mule_deer",153,0.5438
2010,"mule_deer",161,0.5521
2011,"mule_deer",196,0.5492
2012,"mule_deer",268,0.5647
2013,"mule_deer",445,0.5682
2014,"mule_deer",600,0.5773
2015,"mule_deer",876,0.5676
2016,"mule_deer",1468,0.5917
2017,"mule_deer",2193,0.5863
2018,"mule_deer",4445,0.5845
2019,"mule_deer",6507,0.5833
2020,"mule_deer",8815,0.5694
2021,"mule_deer",10285,0.5632
2022,"mule_deer",10611,0.5564
2023,"mule_deer",11487,0.5552
2024,"mule_deer",13137,0.5484
2025,"mule_deer",16569,0.5441
2008,"white-tailed_deer",133,0.2045
2009,"white-tailed_deer",212,0.1961
2010,"white-tailed_deer",247,0.1791
2011,"white-tailed_deer",315,0.1911
2012,"white-tailed_deer",404,0.1785
2013,"white-tailed_deer",551,0.1759
2014,"white-tailed_deer",762,0.1785
2015,"white-tailed_deer",1084,0.1614
2016,"white-tailed_deer",2030,0.1474
2017,"white-tailed_deer",3822,0.1441
2018,"white-tailed_deer",7748,0.1385
2019,"white-tailed_deer",11405,0.1371
2020,"white-tailed_deer",19421,0.1381
2021,"white-tailed_deer",19594,0.1363
2022,"white-tailed_deer",21765,0.1371
2023,"white-tailed_deer",26035,0.142
2024,"white-tailed_deer",32435,0.1418
2025,"white-tailed_deer",38998,0.1415
2008,"california_ground_squirrel",35,0.8425
2009,"california_ground_squirrel",56,0.8588
2010,"california_ground_squirrel",61,0.8577
2011,"california_ground_squirrel",54,0.865
2012,"california_ground_squirrel",69,0.8676
2013,"california_ground_squirrel",143,0.876
2014,"california_ground_squirrel",156,0.8842
2015,"california_ground_squirrel",220,0.8832
2016,"california_ground_squirrel",458,0.9023
2017,"california_ground_squirrel",814,0.9049
2018,"california_ground_squirrel",1614,0.9157
2019,"california_ground_squirrel",2253,0.9189
2020,"california_ground_squirrel",2948,0.9219
2021,"california_ground_squirrel",3964,0.9234
2022,"california_ground_squirrel",4574,0.9239
2023,"california_ground_squirrel",5399,0.9246
2024,"california_ground_squirrel",5657,0.926
2025,"california_ground_squirrel",7139,0.9258
2008,"collared_peccary",23,0.9075
2009,"collared_peccary",25,0.8915
2010,"collared_peccary",32,0.8994
2011,"collared_peccary",16,0.9005
2012,"collared_peccary",13,0.8977
2013,"collared_peccary",45,0.8813
2014,"collared_peccary",40,0.885
2015,"collared_peccary",70,0.8773
2016,"collared_peccary",97,0.8832
2017,"collared_peccary",153,0.8918
2018,"collared_peccary",276,0.8994
2019,"collared_peccary",391,0.9023
2020,"collared_peccary",548,0.9077
2021,"collared_peccary",675,0.9111
2022,"collared_peccary",781,0.9092
2023,"collared_peccary",905,0.9112
2024,"collared_peccary",964,0.9115
2025,"collared_peccary",980,0.9107
2008,"fisher",6,0.8036
2009,"fisher",3,0.8078
2010,"fisher",3,0.816
2011,"fisher",2,0.8055
2012,"fisher",4,0.7944
2013,"fisher",10,0.8311
2014,"fisher",10,0.814
2015,"fisher",12,0.8274
2016,"fisher",22,0.8368
2017,"fisher",51,0.847
2018,"fisher",72,0.8477
2019,"fisher",166,0.8477
2020,"fisher",172,0.8534
2021,"fisher",235,0.8547
2022,"fisher",192,0.8564
2023,"fisher",172,0.8594
2024,"fisher",158,0.8612
2025,"fisher",193,0.8615
2008,"northern_raccoon",73,0.0487
2009,"northern_raccoon",99,0.0523
2010,"northern_raccoon",105,0.0528
2011,"northern_raccoon",129,0.0538
2012,"northern_raccoon",189,0.0451
2013,"northern_raccoon",359,0.0449
2014,"northern_raccoon",603,0.05
2015,"northern_raccoon",713,0.042
2016,"northern_raccoon",1222,0.0448
2017,"northern_raccoon",1889,0.049
2018,"northern_raccoon",4150,0.0481
2019,"northern_raccoon",5590,0.047
2020,"northern_raccoon",7873,0.0522
2021,"northern_raccoon",8447,0.0505
2022,"northern_raccoon",9160,0.0535
2023,"northern_raccoon",10057,0.0555
2024,"northern_raccoon",11662,0.0539
2025,"northern_raccoon",13791,0.0551
2008,"puma",4,0.5195
2009,"puma",9,0.5503
2010,"puma",15,0.5546
2011,"puma",11,0.5538
2012,"puma",18,0.5667
2013,"puma",44,0.5752
2014,"puma",39,0.5765
2015,"puma",64,0.5696
2016,"puma",87,0.5993
2017,"puma",141,0.6059
2018,"puma",231,0.6098
2019,"puma",332,0.6152
2020,"puma",437,0.6159
2021,"puma",486,0.6109
2022,"puma",422,0.6102
2023,"puma",344,0.606
2024,"puma",406,0.6128
2025,"puma",404,0.6055
2008,"eastern_gray_squirrel",112,0.4951
2009,"eastern_gray_squirrel",118,0.4863
2010,"eastern_gray_squirrel",136,0.4834
2011,"eastern_gray_squirrel",160,0.484
2012,"eastern_gray_squirrel",219,0.4714
2013,"eastern_gray_squirrel",348,0.4697
2014,"eastern_gray_squirrel",477,0.469
2015,"eastern_gray_squirrel",798,0.479
2016,"eastern_gray_squirrel",1495,0.4558
2017,"eastern_gray_squirrel",3440,0.4529
2018,"eastern_gray_squirrel",7858,0.4521
2019,"eastern_gray_squirrel",10851,0.4549
2020,"eastern_gray_squirrel",19149,0.4647
2021,"eastern_gray_squirrel",18199,0.4732
2022,"eastern_gray_squirrel",22150,0.4772
2023,"eastern_gray_squirrel",22343,0.4798
2024,"eastern_gray_squirrel",29167,0.4839
2025,"eastern_gray_squirrel",34959,0.4913
2008,"western_gray_squirrel",12,0.8458
2009,"western_gray_squirrel",19,0.8667
2010,"western_gray_squirrel",9,0.8626
2011,"western_gray_squirrel",11,0.865
2012,"western_gray_squirrel",26,0.8626
2013,"western_gray_squirrel",61,0.8777
2014,"western_gray_squirrel",89,0.885
2015,"western_gray_squirrel",168,0.8865
2016,"western_gray_squirrel",180,0.9023
2017,"western_gray_squirrel",236,0.9081
2018,"western_gray_squirrel",416,0.9173
2019,"western_gray_squirrel",564,0.9205
2020,"western_gray_squirrel",917,0.9247
2021,"western_gray_squirrel",1199,0.9269
2022,"western_gray_squirrel",1377,0.9277
2023,"western_gray_squirrel",1155,0.928
2024,"western_gray_squirrel",1300,0.9296
2025,"western_gray_squirrel",1719,0.9298
2008,"eastern_fox_squirrel",48,0.5308
2009,"eastern_fox_squirrel",53,0.5124
2010,"eastern_fox_squirrel",70,0.5117
2011,"eastern_fox_squirrel",95,0.5103
2012,"eastern_fox_squirrel",122,0.4995
2013,"eastern_fox_squirrel",296,0.4758
2014,"eastern_fox_squirrel",441,0.475
2015,"eastern_fox_squirrel",585,0.4731
2016,"eastern_fox_squirrel",1149,0.4389
2017,"eastern_fox_squirrel",1667,0.4249
2018,"eastern_fox_squirrel",4223,0.4265
2019,"eastern_fox_squirrel",5013,0.417
2020,"eastern_fox_squirrel",7446,0.4196
2021,"eastern_fox_squirrel",8063,0.4224
2022,"eastern_fox_squirrel",9479,0.4227
2023,"eastern_fox_squirrel",10154,0.4314
2024,"eastern_fox_squirrel",12200,0.4201
2025,"eastern_fox_squirrel",14741,0.4276
2008,"eastern_chipmunk",42,0.6088
2009,"eastern_chipmunk",72,0.6183
2010,"eastern_chipmunk",70,0.6074
2011,"eastern_chipmunk",74,0.6087
2012,"eastern_chipmunk",123,0.6048
2013,"eastern_chipmunk",141,0.6042
2014,"eastern_chipmunk",218,0.5982
2015,"eastern_chipmunk",301,0.6115
2016,"eastern_chipmunk",541,0.5824
2017,"eastern_chipmunk",714,0.5774
2018,"eastern_chipmunk",1626,0.5646
2019,"eastern_chipmunk",2392,0.5621
2020,"eastern_chipmunk",5869,0.5641
2021,"eastern_chipmunk",4720,0.5742
2022,"eastern_chipmunk",5579,0.5739
2023,"eastern_chipmunk",5975,0.5794
2024,"eastern_chipmunk",8242,0.5822
2025,"eastern_chipmunk",8598,0.5865
2008,"douglas_s_squirrel",9,0.8571
2009,"douglas_s_squirrel",17,0.8745
2010,"douglas_s_squirrel",17,0.8663
2011,"douglas_s_squirrel",16,0.8753
2012,"douglas_s_squirrel",39,0.8766
2013,"douglas_s_squirrel",25,0.8883
2014,"douglas_s_squirrel",64,0.8917
2015,"douglas_s_squirrel",77,0.8852
2016,"douglas_s_squirrel",120,0.9039
2017,"douglas_s_squirrel",291,0.9062
2018,"douglas_s_squirrel",286,0.9177
2019,"douglas_s_squirrel",540,0.9159
2020,"douglas_s_squirrel",621,0.9219
2021,"douglas_s_squirrel",894,0.9241
2022,"douglas_s_squirrel",1155,0.9236
2023,"douglas_s_squirrel",1501,0.9243
2024,"douglas_s_squirrel",1213,0.9263
2025,"douglas_s_squirrel",2163,0.9255
2008,"red_squirrel",55,0.5
2009,"red_squirrel",48,0.502
2010,"red_squirrel",56,0.5239
2011,"red_squirrel",48,0.5195
2012,"red_squirrel",79,0.4995
2013,"red_squirrel",84,0.5347
2014,"red_squirrel",153,0.5205
2015,"red_squirrel",193,0.5308
2016,"red_squirrel",315,0.5404
2017,"red_squirrel",424,0.5471
2018,"red_squirrel",930,0.5503
2019,"red_squirrel",964,0.547
2020,"red_squirrel",2302,0.5556
2021,"red_squirrel",2310,0.5546
2022,"red_squirrel",3051,0.555
2023,"red_squirrel",3034,0.5528
2024,"red_squirrel",3841,0.5586
2025,"red_squirrel",4450,0.5609
2008,"american_badger",8,0.3393
2009,"american_badger",12,0.3163
2010,"american_badger",11,0.3337
2011,"american_badger",8,0.333
2012,"american_badger",13,0.342
2013,"american_badger",28,0.3272
2014,"american_badger",35,0.3294
2015,"american_badger",54,0.3261
2016,"american_badger",60,0.3221
2017,"american_badger",101,0.3162
2018,"american_badger",106,0.3145
2019,"american_badger",200,0.3144
2020,"american_badger",251,0.3042
2021,"american_badger",280,0.2991
2022,"american_badger",242,0.2959
2023,"american_badger",295,0.2937
2024,"american_badger",352,0.2872
2025,"american_badger",413,0.2855
2008,"grey_fox",14,0.1575
2009,"grey_fox",30,0.1464
2010,"grey_fox",26,0.1313
2011,"grey_fox",60,0.1407
2012,"grey_fox",37,0.1444
2013,"grey_fox",114,0.1319
2014,"grey_fox",144,0.1389
2015,"grey_fox",235,0.1293
2016,"grey_fox",401,0.1376
2017,"grey_fox",600,0.1441
2018,"grey_fox",955,0.1519
2019,"grey_fox",1198,0.1568
2020,"grey_fox",1741,0.1594
2021,"grey_fox",1692,0.1738
2022,"grey_fox",1907,0.1711
2023,"grey_fox",1868,0.1763
2024,"grey_fox",2266,0.1783
2025,"grey_fox",2831,0.1798
2008,"american_black_bear",38,0.3198
2009,"american_black_bear",58,0.3464
2010,"american_black_bear",77,0.3423
2011,"american_black_bear",107,0.3513
2012,"american_black_bear",105,0.33
