"region_index","region_name","year_region_mean","year_region_median","year_region_sd","year_region_q025","year_region_q975","p_negative","rhat","abs_trend_mean","abs_trend_median","abs_trend_q025","abs_trend_q975","abs_p_negative","n_camera_sites","n_inat_cells"
1,"Eastern Temperate Forests",-0.0579020558431835,-0.0237932632380295,0.142276852978223,-0.41622391127216,0.167733690093219,0.653826666666667,1.00079525769598,-0.344992178560953,-0.330688428367004,-0.696356140096607,-0.0782601376113389,0.992693333333333,78,42
2,"Great Plains",0.0715147611299901,0.0293822289887582,0.158166759288482,-0.162034499242935,0.481696065652708,0.331673333333333,1.00015172587482,-0.21557536158778,-0.245595401274538,-0.514126903078584,0.244206037375744,0.87918,0,19
3,"Marine West Coast Forest",0.000789886464193766,0.000141930200965607,0.192533955682414,-0.379798947077648,0.386842920311904,0.498286666666667,1.00104158225845,-0.286300236253576,-0.291862189091111,-0.705436152543551,0.172263721292332,0.93378,0,0
4,"Mediterranean California",5.37112281442475e-06,6.6037212322649e-06,0.19031933884961,-0.383387825091225,0.384906399775262,0.499893333333333,1.00036757637319,-0.287084751594955,-0.292574921269542,-0.713722056026926,0.176058746059445,0.933006666666667,0,0
5,"North American Deserts",0.0484092379189301,0.01819785366794,0.146282778094021,-0.191465930868737,0.411177038944277,0.378773333333333,1.00173922601068,-0.23868088479884,-0.257339231395472,-0.5218299737832,0.137090174855428,0.91906,43,38
6,"Northern Forests",-0.0392541239074014,-0.0203354761779825,0.1113437831028,-0.298358466880407,0.149690163695705,0.645993333333333,1.0015103735067,-0.326344246625171,-0.322330358305217,-0.545104801516311,-0.131724361149127,0.999126666666667,925,118
7,"Northwestern Forested Mountains",-0.0102439241514875,-0.00392433130740074,0.102586847649634,-0.234453331981745,0.199241025523565,0.53688,1.00210007574493,-0.297334046869257,-0.297514008516918,-0.494348539941751,-0.101440667707587,0.99806,602,141
8,"Water",-0.0074609648642166,-0.0024243567535681,0.13795790540885,-0.307812157765532,0.281092986810965,0.5223,1.00045945916801,-0.294551087581986,-0.296311552649183,-0.617851863687287,0.0380014866276939,0.96492,6,24
