"region_index","region_name","year_region_mean","year_region_median","year_region_sd","year_region_q025","year_region_q975","p_negative","rhat","abs_trend_mean","abs_trend_median","abs_trend_q025","abs_trend_q975","abs_p_negative","n_camera_sites","n_inat_cells"
1,"Eastern Temperate Forests",-0.0933011046993654,-0.0704793438372304,0.161484839915812,-0.4624999153603,0.189037631295126,0.720946666666667,1.00165545207882,-0.211620784193742,-0.194705956073992,-0.561693468691123,0.0698232191524024,0.92988,78,36
2,"Great Plains",0.159290873430708,0.134211972943617,0.163071475656976,-0.088717806713207,0.534464031735618,0.1422,1.00387618892477,0.040971193936331,0.0284550958592023,-0.217886717213975,0.365114924993584,0.426933333333333,0,55
3,"Marine West Coast Forest",-0.000473588462844028,-0.000309551032985303,0.242418033093505,-0.505818879323716,0.503093310176398,0.501146666666667,1.00201449083859,-0.118793267957221,-0.117200759010376,-0.674841680102312,0.422422658755341,0.74098,0,0
4,"Mediterranean California",-0.000611609828798829,3.07874064735674e-05,0.242202869391121,-0.505119654110597,0.499856199593518,0.499926666666667,1.0021922866533,-0.118931289323176,-0.117393477226033,-0.672061070472655,0.414429999648133,0.740453333333333,0,0
5,"North American Deserts",0.0823150235950001,0.0604092691303143,0.157288872895987,-0.193904065216727,0.448604235585471,0.302326666666667,1.00225288003225,-0.0360046558993766,-0.0488785362904621,-0.304488911529179,0.289448430051133,0.63146,43,62
6,"Northern Forests",-0.141877286999762,-0.131922865241284,0.127089288531704,-0.418309744569815,0.0714234191588158,0.89886,1.00567381525984,-0.260196966494139,-0.257239017789811,-0.459309756221235,-0.0800753005064979,0.998926666666667,925,95
7,"Northwestern Forested Mountains",0.0456597014509467,0.0375667545072655,0.112719103352117,-0.166965334250156,0.290993270059551,0.328013333333333,1.00878188949512,-0.07265997804343,-0.0728627831298737,-0.199752899307274,0.0564157055701406,0.86864,602,161
8,"Water",-0.0400550472446449,-0.0265596546884134,0.163583789316426,-0.402212652157025,0.2767082896917,0.596726666666667,1.00164386040894,-0.158374726739022,-0.148773010721332,-0.511890543545337,0.154199858126268,0.85722,6,13
