"cell50","year","mu_mean","mu_q025","mu_q975","lon","lat"
8,2015,0.00389113405425797,0.0012312775897654,0.00817767835224996,-119.958104358564,49.2278348396007
15,2015,0.0163760549561529,0.00832067876088459,0.0268714414224736,-120.440842673788,48.672733234681
16,2015,0.0191408396614128,0.0108792574515438,0.0309987001048603,-119.790313872131,48.7868865773491
17,2015,0.0825630239049944,0.0538652378930156,0.119452292790725,-119.137500463454,48.8980721978474
18,2015,0.0730519972321589,0.0488926358998737,0.103265024385877,-118.482453966982,49.0062653448723
19,2015,0.0468089336203458,0.0249949442639965,0.0754873465490969,-117.825219759276,49.1114538833663
20,2015,0.0241780385580209,0.0107002928403669,0.0456236118078719,-117.165854351124,49.213617147949
27,2015,0.015810595819,0.00693272827284293,0.0295644651525415,-120.27121456213,48.2333626190998
28,2015,0.0202343123132687,0.00998941278435367,0.0349509187200639,-119.624814650583,48.3465402327626
29,2015,0.0719042773165571,0.0298378377677201,0.137767964433583,-118.976175551119,48.4567680841763
30,2015,0.0727994939431144,0.0334874304598226,0.133738782634758,-118.325346401563,48.564029742441
31,2015,0.133654809833649,0.109536883488231,0.162141090662424,-117.672375597358,48.6683051194705
32,2015,0.123352422938277,0.0915210655629153,0.16699382309613,-117.017316446554,48.7695743758115
33,2015,0.145305611368865,0.116734167686881,0.188150449355441,-116.360221072417,48.8678199767522
34,2015,0.102255456648032,0.0755852438363602,0.142171698463829,-115.701143087202,48.9630258969627
35,2015,0.176961654534522,0.134657220739847,0.232603289202925,-115.040136094933,49.0551758980945
36,2015,0.112510556308824,0.0820621657350179,0.146668129566115,-114.377255928809,49.1442541785679
37,2015,0.0188297132194804,0.0146602428748773,0.024099999500597,-113.712561201883,49.2302453010975
48,2015,0.0711254494256739,0.0367916564979786,0.11756582531347,-118.170381383063,48.1224031571419
49,2015,0.134149991186622,0.103871259448385,0.171443939837268,-117.521623369245,48.2257868101742
50,2015,0.12403057468443,0.102110233868133,0.151188079222084,-116.870816677498,48.3261864091953
51,2015,0.155691022917279,0.124747249824961,0.198733625370522,-116.218015973647,48.4235822996474
52,2015,0.149647973119907,0.121631376281622,0.184897945780012,-115.56326990492,48.5179625451974
53,2015,0.225321184402797,0.179120502060976,0.282155412160994,-114.906637134378,48.6093093924158
54,2015,0.208649272836251,0.16244430984145,0.262672803516552,-114.248169681455,48.6976058532625
55,2015,0.064339029970981,0.0492596793132406,0.0824193511710147,-113.587922894349,48.7828372654218
56,2015,0.0773325014665884,0.0545369427738481,0.103383281948339,-112.925954282071,48.8649870003599
59,2015,0.0391335349208209,0.0120353498956287,0.0880965151966475,-110.930299500929,49.092807398951
60,2015,0.0374768783111447,0.012171334898572,0.0780182331450981,-110.262024903585,49.1624886658511
63,2015,0.0891600099710931,0.0226326762501679,0.194821390567873,-68.7190892921395,47.190084100331
64,2015,0.131973339272076,0.0681509123609254,0.222830487161252,-68.0908928553389,47.0606651056672
65,2015,0.0462378443618438,0.0239130329154065,0.0783605991935518,-67.4651983439585,46.9284486236964
76,2015,0.0574441354186661,0.0304009339759838,0.0924156824993336,-118.017514067676,47.68134777365
77,2015,0.114351769948729,0.0888803393295599,0.144400066022513,-117.372920136676,47.7838610764382
78,2015,0.180886201683698,0.138099033519538,0.227398182275541,-116.726314268227,47.8834122922538
79,2015,0.19289704362373,0.15047362969291,0.253573892498417,-116.077755087246,47.9799818698788
80,2015,0.208226622120019,0.159934418912656,0.287415333776069,-115.427287835665,48.0735557608927
81,2015,0.242750883602194,0.17165585189784,0.317477092215144,-114.774974410224,48.1641173770118
82,2015,0.239960554919091,0.187506239312738,0.297021051421924,-114.120865028685,48.2516520248398
83,2015,0.128865314746865,0.113698084978927,0.145023532437468,-113.465009639246,48.3361436908319
84,2015,0.150903207056933,0.127269939630347,0.176583027717541,-112.807466634735,48.4175783877576
92,2015,0.023555719475379,0.0127831442339983,0.0391144870595359,-107.493395159889,48.9573499576627
93,2015,0.0307305931130849,0.0154139085969619,0.0507419642770709,-106.823311005254,49.0106696713678
94,2015,0.025428575010763,0.0112640025326344,0.0468913194091513,-106.152156667735,49.0608164945375
98,2015,0.158170637917137,0.0847754816685276,0.262114442235068,-95.3206353008994,49.4246537982582
99,2015,0.070923209266405,0.026389593959828,0.142487055014748,-94.6413159797165,49.4197691644798
100,2015,0.0663063587667145,0.038893785989806,0.0997212713778889,-69.5305289572354,46.8822366835495
101,2015,0.0648063590048716,0.0378936679448408,0.0969091493196774,-68.9036837191155,46.7566505633992
102,2015,0.0956220457400598,0.0564927029367009,0.141254786609863,-68.2792539113464,46.6282572225885
103,2015,0.0639414272334941,0.0399384845643829,0.0916892537007458,-67.6572724385743,46.4970843359059
114,2015,0.0522384632457523,0.0294083025792759,0.0831002533667835,-117.866704919148,47.2408178782891
115,2015,0.115584764154366,0.0910896128495735,0.144446343366671,-117.226219771308,47.3424850688003
116,2015,0.165320801984667,0.129701871812754,0.204620976237975,-116.583766817315,47.4412092581095
117,2015,0.193607612569389,0.15126630064609,0.25494917822475,-115.939397629601,47.5369728113951
118,2015,0.204581003783262,0.158234041358069,0.270157863887026,-115.293161243123,47.6297603798853
