"site_id","model_i","cell50","cell100","year","psi_mean","psi_q025","psi_q975","lon","lat"
952,887,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.11209,47.08567
953,888,231,60,2019,0.134184106340109,0.0290212375759206,0.346200637779981,-113.05653,47.04922
954,889,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.08588,47.06378
955,890,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.09731,47.0879
956,891,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.09887,47.05159
957,892,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.0883,47.05059
958,893,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.07108,47.07802
959,894,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.08601,47.07802
960,895,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.07124,47.06007
961,896,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.10805,47.07014
962,897,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.09924,47.08127
963,898,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.09838,47.06623
964,899,231,60,2019,0.471287926705875,0.186891726519295,0.829160152096635,-113.05164,47.06229
965,900,231,60,2019,0.408429983590776,0.225458280062825,0.630786436458413,-113.08179,47.05593
966,901,231,60,2019,0.134184106340109,0.0290212375759206,0.346200637779981,-113.07418,47.04448
977,902,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.97896,46.86254
978,903,230,59,2019,7.96458946854063e-10,0,2.18355842573902e-09,-114.03002,46.82091
979,904,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.96255,46.87617
980,905,230,59,2019,7.96458946854063e-10,0,2.18355842573902e-09,-114.0057,46.83493
981,906,229,59,2019,1.76673271131405e-06,9.08002326105439e-10,1.39806899731336e-05,-114.06136,46.81736
982,907,229,59,2019,0.00107414368298722,4.78494991710709e-05,0.0045766036624934,-114.17403,46.89771
983,908,230,59,2019,2.30033809461056e-14,0,0,-114.06057,46.87191
984,909,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.97624,46.84881
985,910,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.97487,46.88117
986,911,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.99052,46.86875
987,912,230,59,2019,2.30033809461056e-14,0,0,-114.05781,46.86777
988,913,230,59,2019,7.96458946854063e-10,0,2.18355842573902e-09,-114.01799,46.81645
989,914,230,59,2019,2.05962869405055e-11,0,5.6664839487297e-12,-113.94162,46.86262
990,915,230,59,2019,7.96458946854063e-10,0,2.18355842573902e-09,-114.01406,46.81915
7904,916,657,170,2019,0.139829662163962,0.0298467971906635,0.355710821387036,-114.61059,43.85301
7905,917,657,170,2019,0.139829662163962,0.0298467971906635,0.355710821387036,-114.61117,43.83749
7906,918,657,170,2019,0.115027131073307,0.0211182340467737,0.312538845231944,-114.63296,43.87335
7907,919,657,170,2019,0.139829662163962,0.0298467971906635,0.355710821387036,-114.6235,43.82284
7908,920,657,170,2019,0.139829662163962,0.0298467971906635,0.355710821387036,-114.63902,43.83664
7909,921,657,170,2019,0.134680479601874,0.0265857816551921,0.353587787166864,-114.68813,43.88966
7910,922,657,170,2019,0.088830429214742,0.0166336019442806,0.243895873196713,-114.67992,43.9053
7911,923,657,170,2019,0.134680479601874,0.0265857816551921,0.353587787166864,-114.70593,43.87229
7912,924,735,211,2019,0.373363247582186,0.163907978250353,0.655673170645338,-114.5214,43.53206
7913,925,735,211,2019,0.774176865527694,0.485784636689056,0.977312026732012,-114.4926,43.49928
7914,926,735,211,2019,0.447923672944896,0.204829486011835,0.760736484113754,-114.49716,43.55942
7915,927,736,211,2019,0.135287979887497,0.0383885802326586,0.321946774023449,-114.4029,43.62649
7916,928,736,211,2019,0.420598235284136,0.207009728970994,0.691952434630878,-114.4136,43.61499
7917,929,735,211,2019,0.373363247582186,0.163907978250353,0.655673170645338,-114.51784,43.55825
7918,930,735,211,2019,0.447923672944896,0.204829486011835,0.760736484113754,-114.48647,43.54676
7919,931,736,211,2019,0.416663982519945,0.21040280525626,0.684309288990912,-114.4413,43.54587
7920,932,736,211,2019,0.420598235284136,0.207009728970994,0.691952434630878,-114.4318,43.58169
8011,933,736,211,2019,0.346544926576247,0.130434403598586,0.648757932385204,-114.25939,43.76833
8012,934,736,211,2019,0.486681328971799,0.225204960755358,0.797841032080586,-114.27441,43.7002
8013,935,736,211,2019,0.426384292560377,0.216013171609249,0.689127578698892,-114.2006,43.60068
8014,936,736,211,2019,0.27962695404944,0.0840874382859968,0.584417564084835,-114.22144,43.75554
8015,937,736,211,2019,0.27962695404944,0.0840874382859968,0.584417564084835,-114.2242,43.74519
8016,938,736,211,2019,0.233216446148216,0.0788510910033716,0.475083765095799,-114.22157,43.73635
8017,939,736,211,2019,0.486681328971799,0.225204960755358,0.797841032080586,-114.25973,43.71683
8018,940,736,211,2019,0.233216446148216,0.0788510910033716,0.475083765095799,-114.20373,43.69706
8019,941,736,211,2019,0.266473752578055,0.106762459769489,0.499228181082561,-114.22162,43.68891
8020,942,736,211,2019,0.278998114948472,0.0814361130703053,0.592850497080046,-114.14082,43.66397
8021,943,736,211,2019,0.278998114948472,0.0814361130703053,0.592850497080046,-114.16431,43.67903
10705,944,209,82,2019,0.992547027354865,0.935996755523359,0.999999999915186,-69.18176,45.95804
10706,945,209,82,2019,0.995798359066243,0.961174955834736,0.999999999998996,-69.203,46.03986
10707,946,209,82,2019,0.991484543594147,0.932173231479303,0.999999998819196,-69.17353,45.99082
10708,947,209,82,2019,0.995798359066243,0.961174955834736,0.999999999998996,-69.15558,46.04332
10709,948,209,82,2019,0.987938645552559,0.908299515821473,0.999999995074465,-69.13603,46.06262
10710,949,209,82,2019,0.995137109868889,0.954733816745283,0.999999999999694,-69.1049,46.07565
10711,950,209,82,2019,0.966863005351756,0.828953887888726,0.999994198763555,-69.1657,45.92609
11021,951,469,151,2019,0.0018294138794711,0.000109727448040853,0.00791144731419562,-87.5092,46.653
11022,952,469,151,2019,0.00869432271946144,0.00107275749961582,0.0290480157447286,-87.56389,46.63872
11026,953,469,151,2019,0.00869432271946144,0.00107275749961582,0.0290480157447286,-87.59091,46.64587
11028,954,469,151,2019,0.00869432271946144,0.00107275749961582,0.0290480157447286,-87.56915,46.65748
11127,955,469,151,2019,0.0582170661274107,0.014795743464456,0.139699170106604,-87.54876,46.60836
11170,956,469,151,2019,0.0582170661274107,0.014795743464456,0.139699170106604,-87.5507,46.62047
11690,957,324,109,2019,0.0154935192955544,0.00252727765146847,0.0460623826481778,-93.47453,47.66804
11691,958,324,109,2019,0.0207131622322169,0.00338760342888439,0.0620726672110187,-93.48549,47.61625
11692,959,324,109,2019,0.0202726552742453,0.00306743355683272,0.0625062921117298,-93.55992,47.65063
11693,960,324,109,2019,0.0154935192955544,0.00252727765146847,0.0460623826481778,-93.46603,47.64156
11694,961,324,109,2019,0.0207131622322169,0.00338760342888439,0.0620726672110187,-93.44607,47.59041
11695,962,324,109,2019,0.0153642016964457,0.0024879722395096,0.0461855979804585,-93.40393,47.59092
11696,963,324,109,2019,0.0243748626766179,0.00398839552096497,0.0724714832199525,-93.51727,47.59335
11697,964,324,109,2019,0.0243748626766179,0.00398839552096497,0.0724714832199525,-93.5424,47.5901
11698,965,324,109,2019,0.0154935192955544,0.00252727765146847,0.0460623826481778,-93.4322,47.6536
11699,966,324,109,2019,0.0189855186318331,0.00310745178961623,0.0566907907863914,-93.40858,47.65998
11700,967,324,109,2019,0.0105936163669751,0.00162534162150259,0.0330104749352512,-93.35054,47.63762
11701,968,324,109,2019,0.0153642016964457,0.0024879722395096,0.0461855979804585,-93.39327,47.62157
11702,969,324,109,2019,0.0154935192955544,0.00252727765146847,0.0460623826481778,-93.43865,47.65924
11703,970,324,109,2019,0.0196835157978162,0.00322996603831596,0.058605247030123,-93.53394,47.67053
11704,971,324,109,2019,0.0196835157978162,0.00322996603831596,0.058605247030123,-93.51644,47.66787
11705,972,324,109,2019,0.0196835157978162,0.00322996603831596,0.058605247030123,-93.52912,47.67487
14387,973,333,118,2019,0.997493427320719,0.975499366314827,0.999999999999999,-71.08986,45.21374
14388,974,333,118,2019,0.999633158931283,0.996862987725691,1,-71.11049,45.23198
14389,975,333,118,2019,0.982933615645052,0.89050920412155,0.999999875303649,-71.15907,45.18418
14390,976,333,118,2019,0.999248709761905,0.992817332286241,1,-71.13473,45.18189
14391,977,333,118,2019,0.994949008236812,0.952995209350788,0.999999999999953,-71.09856,45.28265
14392,978,333,118,2019,0.999633158931283,0.996862987725691,1,-71.10031,45.2573
14393,979,405,118,2019,0.986278515906472,0.908619534658086,0.999999936360683,-71.1037,45.07564
14394,980,332,118,2019,0.960781051939641,0.802608122613369,0.999993853433905,-71.25655,45.14856
15354,981,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19706,44.45408
15355,982,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19694,44.45408
15356,983,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19397,44.45465
15357,984,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.199,44.4543
15370,985,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.1985,44.45625
15371,986,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19622,44.45548
15372,987,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19744,44.45325
15373,988,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.20113,44.4532
15374,989,554,157,2019,0.0117825049915707,0.00231872599800275,0.0335862351801266,-74.19816,44.45246
15452,990,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.09218,44.43389
15453,991,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.09184,44.42655
15456,992,553,156,2019,0.0172958798415837,0.00232100562148144,0.0556497507466294,-75.14827,44.40567
15458,993,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.06884,44.40518
15460,994,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.07318,44.41022
15462,995,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.069614,44.4142598
15464,996,553,156,2019,0.0349003260537887,0.00480293404433354,0.111337860322699,-75.0663509,44.40878253
