"estimator","abundance","scenario","n_rep","detect_rate","bias","ci_width","coverage","tri_rate","auc","spearman","field_rmse","elapsed_med"
"array_occ","bobcat_like","null",30,0.0333333333333333,-0.0119662772444887,5.1161895271331,0.933333333333333,0,0.690545615090532,0.39912144709801,16.0296268415121,2451.67507505417
"array_rn","bobcat_like","null",30,0.133333333333333,-0.0583817993477636,0.919098024477968,0.966666666666667,0,0.601932083551657,0.258986161281934,3.01446367124223,2328.58641922474
"camera_occ","bobcat_like","null",30,0.3,-0.188029861518822,1.6341860014657,1,0,0.709732383706262,0.475217469680078,1.63658152958471,2711.82599437237
"camera_rn","bobcat_like","null",30,0.2,0.00519569247735158,0.848340213429931,0.9,0,0.650430987081708,0.355812442562734,1.19494461811339,2733.78805041313
"array_occ","deer_like","null",30,0.666666666666667,-1.03124815134242,3.15008701715696,0.6,0,0.862001332582947,0.749819213521875,17.4935643464099,2472.91346478462
"array_rn","deer_like","null",30,0.666666666666667,-0.0231075654151397,0.344463259466339,0.966666666666667,0,0.799697581297263,0.644769994487027,2.53115827472515,2408.57886087894
"camera_occ","deer_like","null",30,0.566666666666667,-0.343947650782995,1.38261557966767,0.8,0,0.843338055593291,0.727229268298365,2.820903392656,2667.96060967445
"camera_rn","deer_like","null",30,0.433333333333333,0.0455011277140187,0.269506146857844,0.9,0,0.818150135522392,0.678652822856513,1.01053929031454,2731.80019021034
"array_occ","intermediate","null",30,0.166666666666667,-0.723796353736458,4.22063423667633,0.9,0,0.779524960054856,0.589231322969102,21.2592481475681,2476.26291036606
"array_rn","intermediate","null",30,0.366666666666667,-0.022469403940563,0.561266303281794,0.866666666666667,0,0.709077736161514,0.473625002345005,2.79280864791246,2338.66207563877
"camera_occ","intermediate","null",30,0.4,-0.161644600130761,1.50240635317512,0.933333333333333,0,0.814445910716943,0.668344199116423,2.42482389264324,2718.14979279041
"camera_rn","intermediate","null",30,0.533333333333333,-0.0020207092721152,0.440790656826438,1,0,0.772647279525445,0.60402361273191,1.07306416631683,2609.54032766819
"array_occ","bobcat_like","varying",30,0,-0.409892444429268,5.41828520468361,1,0,0.69731866198322,0.419035431852128,17.0663469612245,2485.61659145355
"array_rn","bobcat_like","varying",30,0.166666666666667,0.1093994677608,1.04780524341983,0.866666666666667,0,0.631333165143253,0.301709631303411,3.15689147909786,2245.28077661991
"camera_occ","bobcat_like","varying",30,0.166666666666667,-0.121524386869207,2.31728724658431,0.966666666666667,0,0.636993569963839,0.336702296479715,2.23159256207682,2722.80508244038
"camera_rn","bobcat_like","varying",30,0.233333333333333,0.00533738320596941,0.87950260361379,0.866666666666667,0,0.656597579356608,0.362152887330464,1.21743389507695,2709.73637592793
"array_occ","deer_like","varying",30,0.466666666666667,-0.832293250408849,3.1915719199312,0.8,0,0.869530264511246,0.760965622471839,18.7964435441523,2379.71811008453
"array_rn","deer_like","varying",30,0.633333333333333,0.00289240492344719,0.339503451591007,0.966666666666667,0,0.820416011695679,0.681907640418953,2.4781652758635,2242.48321676254
"camera_occ","deer_like","varying",30,0.666666666666667,-0.471847351879952,1.67048723027982,0.8,0,0.848309366246838,0.735545111806617,3.66790416400148,2807.63787889481
"camera_rn","deer_like","varying",30,0.533333333333333,0.0524785464576535,0.25210833502675,0.833333333333333,0,0.819061434661388,0.68116932510779,1.03332902168432,2570.56820654869
"array_occ","intermediate","varying",30,0.166666666666667,-0.744386807350254,4.50127403693173,0.866666666666667,0,0.786951845886135,0.601380411003716,26.0654298629341,2362.01116597652
"array_rn","intermediate","varying",30,0.266666666666667,0.00475299042868619,0.533856838408423,0.9,0,0.732291686881821,0.518312248002773,2.8613410321221,2459.61488330364
"camera_occ","intermediate","varying",30,0.4,-0.336726561292986,1.4763189423337,0.833333333333333,0,0.778255771830749,0.607482468591317,1.99085908412817,2633.71546316147
"camera_rn","intermediate","varying",30,0.366666666666667,0.025974400959623,0.425078759509084,0.9,0,0.765282171204564,0.587391032863516,1.07357212138467,2580.40602469444
