"cell50","year","mu_mean","mu_q025","mu_q975","lon","lat"
6,2008,0.00540064770721884,0.000727360203079982,0.013671445874269,-121.265128723774,48.994555393664
7,2008,0.019575160095909,0.00988073003132556,0.0338696790221814,-120.612805474797,49.1126837672064
8,2008,0.0153758618428607,0.00263305415551215,0.0414461824910052,-119.958104358564,49.2278348396007
14,2008,0.00939687940024448,0.00141107762039484,0.0236323369504776,-121.089036419193,48.555629878705
15,2008,0.0513611644638533,0.0203102904473146,0.0954566348630726,-120.440842673788,48.672733234681
16,2008,0.0914502308830967,0.051427131571816,0.150247458593399,-119.790313872131,48.7868865773491
17,2008,0.0348414394599419,0.0157882397518103,0.0691674444551201,-119.137500463454,48.8980721978474
18,2008,0.0259863322308003,0.0102309667533481,0.0555774228428206,-118.482453966982,49.0062653448723
19,2008,0.0519660756762016,0.0195610803971136,0.107607661841243,-117.825219759276,49.1114538833663
20,2008,0.0735130820843761,0.0178606576400752,0.162161229248499,-117.165854351124,49.213617147949
26,2008,0.00405902569132644,6.08749950418685e-05,0.0115652923831069,-120.915324882767,48.117254393936
27,2008,0.0441080553566229,0.0165257834713228,0.100241361163664,-120.27121456213,48.2333626190998
28,2008,0.0430589919081491,0.0183625820672978,0.0863301453248259,-119.624814650583,48.3465402327626
30,2008,0.17703156323899,0.0841354569186405,0.316849713499106,-118.325346401563,48.564029742441
31,2008,0.228728355364965,0.14677539178043,0.328177675504514,-117.672375597358,48.6683051194705
32,2008,0.106144152546872,0.0626936600665645,0.171384969556114,-117.017316446554,48.7695743758115
33,2008,0.106255972430874,0.0585994831575925,0.184789062699693,-116.360221072417,48.8678199767522
34,2008,0.10892349126769,0.0429393838550141,0.198681969985146,-115.701143087202,48.9630258969627
35,2008,0.0586682908883603,0.0338136367162109,0.0938538674053054,-115.040136094933,49.0551758980945
36,2008,0.0471247777462583,0.0271381803134215,0.0730747456381213,-114.377255928809,49.1442541785679
37,2008,0.0340608076120082,0.0173458392278691,0.0486941842701717,-113.712561201883,49.2302453010975
38,2008,0.0663272703063588,0.010047445190512,0.147268375007954,-67.9000250105137,47.4934264776634
44,2008,0.00382536804306413,0.000116031745382547,0.00995918210393555,-120.743949213934,47.6793926503527
45,2008,0.0327094604637044,0.00692899908241059,0.072477367322932,-120.103874647752,47.7945312948367
46,2008,0.037397320502169,0.00211111515722129,0.102895978966864,-119.461555666864,47.9067580193303
48,2008,0.336459813805265,0.129965007209302,0.632212206031415,-118.170381383063,48.1224031571419
49,2008,0.325997093974996,0.201295767726087,0.467117253678961,-117.521623369245,48.2257868101742
50,2008,0.204192974445218,0.130670478257907,0.293205486737719,-116.870816677498,48.3261864091953
51,2008,0.0842718003829289,0.0461072179189959,0.13738604247664,-116.218015973647,48.4235822996474
52,2008,0.0968292688081607,0.0581620398705781,0.14946618286978,-115.56326990492,48.5179625451974
53,2008,0.0536450981019485,0.0295909180568679,0.0986490904833262,-114.906637134378,48.6093093924158
54,2008,0.0633620935218386,0.0369825306299194,0.105878022806239,-114.248169681455,48.6976058532625
55,2008,0.116461901553205,0.0831665198120806,0.174840982745129,-113.587922894349,48.7828372654218
56,2008,0.0805069063121528,0.0258352669149132,0.181421576976942,-112.925954282071,48.8649870003599
62,2008,0.445448946409372,0.206390008503761,0.790789334000538,-69.3497434925368,47.3166834397276
63,2008,0.548692274630729,0.258330179784123,0.992902010293482,-68.7190892921395,47.190084100331
64,2008,0.495516521108762,0.257210177492706,0.816040402084369,-68.0908928553389,47.0606651056672
65,2008,0.181585952473311,0.0448976833090225,0.32982764859833,-67.4651983439585,46.9284486236964
76,2008,0.254328685289113,0.127406461270916,0.431246179920258,-118.017514067676,47.68134777365
77,2008,0.163527220962502,0.0996853027830876,0.242777126744359,-117.372920136676,47.7838610764382
78,2008,0.254946135756484,0.160816948608803,0.367577501455567,-116.726314268227,47.8834122922538
79,2008,0.156211981647212,0.0910353831980394,0.249042328158123,-116.077755087246,47.9799818698788
80,2008,0.194794534469783,0.116633147899619,0.318711571377077,-115.427287835665,48.0735557608927
81,2008,0.0429662016647261,0.0188272925895585,0.0825672044696743,-114.774974410224,48.1641173770118
82,2008,0.0403974169552403,0.0229438397907126,0.0667165605461895,-114.120865028685,48.2516520248398
83,2008,0.1863229940291,0.123713068702513,0.270030499467202,-113.465009639246,48.3361436908319
84,2008,0.104818888099252,0.0409262824035039,0.217934243689024,-112.807466634735,48.4175783877576
98,2008,0.0107682403842944,0.000481597052401706,0.04169747990317,-95.3206353008994,49.4246537982582
99,2008,0.00497299672056453,7.36921930122706e-06,0.0298964965255558,-94.6413159797165,49.4197691644798
100,2008,0.782835027920896,0.47650926654703,1.13712305388386,-69.5305289572354,46.8822366835495
101,2008,0.737288484687314,0.476320470333941,1.07377827504732,-68.9036837191155,46.7566505633992
102,2008,0.349851639982749,0.196050498103538,0.561788435268611,-68.2792539113464,46.6282572225885
