"site_id","model_i","cell50","cell100","year","psi_mean","psi_q025","psi_q975","lon","lat"
1732,1027,966,290,2020,4.01394615190398e-09,0,9.04548941305094e-09,-71.52239,41.49158
10712,1028,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6642,44.8971
10713,1029,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6613,44.9066
10714,1030,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6616,44.9084
10715,1031,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.66475,44.91182
10716,1032,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6663,44.9132
10717,1033,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6679,44.9148
10718,1034,337,120,2020,6.70778397614535e-08,1.88737914186277e-15,2.06319077863948e-07,-68.6643,44.8952
11073,1035,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.5092,46.6539
11075,1036,397,113,2020,0.00869558282596763,0.000416659768480879,0.0359439737067814,-87.5636,46.6764
11080,1037,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5459,46.6488
11088,1038,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5709,46.667
11092,1039,469,151,2020,0.0432171664110617,0.00993085936717569,0.104367591119972,-87.5487,46.6083
11177,1040,543,150,2020,0.00764292989885035,0.00101783430375608,0.0247235664068136,-88.88202,46.06526
11178,1041,543,150,2020,0.0105864002994824,0.00205032545820678,0.0297863152527258,-88.82461,46.0494
11179,1042,543,150,2020,0.0105864002994824,0.00205032545820678,0.0297863152527258,-88.80464,46.05611
11180,1043,543,150,2020,0.00941806990084601,0.00137020058230136,0.0284073010024841,-88.74676,46.11996
11181,1044,543,150,2020,0.0141425037435022,0.00212504569652036,0.0399663499390265,-88.74247,46.10178
11182,1045,543,150,2020,0.00941806990084601,0.00137020058230136,0.0284073010024841,-88.73163,46.12554
11183,1046,543,150,2020,0.0141425037435022,0.00212504569652036,0.0399663499390265,-88.7352,46.08171
11184,1047,543,150,2020,0.00370666116445785,1.8010973178445e-05,0.02504645242131,-88.75005,46.05425
11185,1048,543,150,2020,0.0105864002994824,0.00205032545820678,0.0297863152527258,-88.77703,46.04796
11186,1049,543,150,2020,0.00344620299670021,6.82513756111725e-07,0.0323108999297246,-88.79331,46.08116
11187,1050,543,150,2020,0.00344620299670021,6.82513756111725e-07,0.0323108999297246,-88.80826,46.09148
11188,1051,543,150,2020,0.00916481159693699,0.00140013970680498,0.0277628260944711,-88.7903,46.11569
11189,1052,543,150,2020,0.00346304126299109,4.15484245450681e-05,0.0215196041444966,-88.84755,46.10045
11190,1053,543,150,2020,0.00346304126299109,4.15484245450681e-05,0.0215196041444966,-88.85232,46.09116
11191,1054,543,150,2020,0.00346304126299109,4.15484245450681e-05,0.0215196041444966,-88.86445,46.10658
11192,1055,543,150,2020,0.00843310250412554,0.00132379224860945,0.0250913177588365,-88.90433,46.12063
12605,1056,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.46187,48.40847
12606,1057,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.45962,48.40807
12608,1058,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.4659,48.40695
12609,1059,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.46538,48.40707
12610,1060,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.46622,48.40865
12611,1061,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.45606,48.40878
12612,1062,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.4562,48.40871
15358,1063,554,157,2020,0.00977849611142243,0.00223440955573857,0.0244552005140922,-74.197,44.4538
15359,1064,554,157,2020,0.00977849611142243,0.00223440955573857,0.0244552005140922,-74.1934,44.455
15360,1065,554,157,2020,0.00977849611142243,0.00223440955573857,0.0244552005140922,-74.1978,44.4575
15361,1066,554,157,2020,0.00977849611142243,0.00223440955573857,0.0244552005140922,-74.1982,44.4592
15468,1067,553,156,2020,0.0251535761183107,0.00381843810707332,0.0751759304133448,-75.0708,44.4388
15469,1068,632,198,2020,0.00405304717558347,0.000297768588635752,0.0157648589555263,-75.0643,44.3789
15470,1069,632,198,2020,0.0038833088459579,0.000318769828228455,0.0143124584610899,-75.0361,44.3352
15471,1070,632,198,2020,0.00648683064396865,0.000580612588224988,0.0242124155762476,-74.9961,44.3094
15472,1071,632,198,2020,0.00804492707966967,0.000759573689887491,0.0302373768585443,-74.9354,44.2814
15473,1072,632,198,2020,0.00804492707966967,0.000759573689887491,0.0302373768585443,-74.9199,44.287
15474,1073,553,156,2020,0.0110951002921228,0.00156067612151082,0.0342098628068177,-75.1679,44.5038
15475,1074,553,156,2020,0.0251507918307932,0.00343473016043722,0.0761483966054172,-75.0697,44.4092
15476,1075,553,156,2020,0.00201353547008431,0.00018704098899798,0.00753711478513292,-75.1585,44.5815
15477,1076,633,199,2020,0.0264919347254931,0.00678720419529276,0.0626132318854089,-74.7402,44.2599
24393,1077,821,214,2020,0.554290662622626,0.383655584705254,0.75788543260089,-110.5068,43.6436
24394,1078,821,214,2020,0.554290662622626,0.383655584705254,0.75788543260089,-110.5072,43.652
24395,1079,821,214,2020,0.563469903072427,0.345061149561684,0.795629000570135,-110.4985,43.6624
24396,1080,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4921,43.6547
24397,1081,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4936,43.6448
24398,1082,821,214,2020,0.554290662622626,0.383655584705254,0.75788543260089,-110.5003,43.6417
24399,1083,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4798,43.6553
24400,1084,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4657,43.6457
24402,1085,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.479,43.6416
24403,1086,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4881,43.637
11076,1521,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.5203,46.6617
11077,1522,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.4936,46.6349
11078,1523,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.514,46.6426
11079,1524,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5323,46.6466
11081,1525,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5638,46.6387
11082,1526,469,151,2020,0.0351280245414136,0.00661309741954275,0.0896870642604328,-87.6101,46.6331
11083,1527,469,151,2020,0.205177682471919,0.066062411628096,0.446530739051902,-87.6062,46.6241
11084,1528,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5914,46.636
11085,1529,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5909,46.6458
11086,1530,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5546,46.6647
11087,1531,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5692,46.6575
11089,1532,469,151,2020,0.00654087622503779,0.000744795957113176,0.0206647714715245,-87.5859,46.668
11090,1533,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.4807,46.6276
11091,1534,469,151,2020,0.00120609563015525,7.9389193073301e-05,0.00453166941240131,-87.4974,46.6248
11093,1535,469,151,2020,0.0432171664110617,0.00993085936717569,0.104367591119972,-87.5485,46.6107
11094,1536,469,151,2020,0.0432171664110617,0.00993085936717569,0.104367591119972,-87.5506,46.6204
11095,1537,469,151,2020,0.0432171664110617,0.00993085936717569,0.104367591119972,-87.532,46.6208
11096,1538,469,151,2020,0.0141455637911516,0.00205640438667861,0.0432136953273431,-87.4728,46.6084
11097,1539,469,151,2020,0.0141455637911516,0.00205640438667861,0.0432136953273431,-87.4696,46.5989
11098,1540,469,151,2020,0.0141455637911516,0.00205640438667861,0.0432136953273431,-87.49,46.6014
11042,1541,544,151,2020,0.428579224638914,0.248817556570609,0.655071132090228,-88.32997,46.23294
11043,1542,544,151,2020,0.492788932641574,0.32500350374322,0.682042672348817,-88.28762,46.22338
11044,1543,544,151,2020,0.480298916174131,0.289151916888574,0.699064572228211,-88.21314,46.21864
11045,1544,544,151,2020,0.480298916174131,0.289151916888574,0.699064572228211,-88.2013,46.23143
11046,1545,544,151,2020,0.428579224638914,0.248817556570609,0.655071132090228,-88.32473,46.24751
11047,1546,544,151,2020,0.492788932641574,0.32500350374322,0.682042672348817,-88.25655,46.2492
11048,1547,544,151,2020,0.480298916174131,0.289151916888574,0.699064572228211,-88.17546,46.25086
11049,1548,544,151,2020,0.428579224638914,0.248817556570609,0.655071132090228,-88.3508,46.26158
11050,1549,468,151,2020,0.470929079431911,0.300328103806995,0.684558575071149,-88.23572,46.26542
11051,1550,544,151,2020,0.590109605683807,0.376363598631354,0.808496643467572,-88.23905,46.19967
12602,1551,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.4659,48.4107
12603,1552,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.4659,48.4107
12604,1553,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.45938,48.40814
12607,1554,54,32,2020,0.0246135960092787,0.00294039523688494,0.0745568877417845,-114.46065,48.41066
23778,1555,540,149,2020,0.0129874318868568,0.000798345465987393,0.048152558824423,-90.93378,46.20989
23779,1556,540,149,2020,0.0197943170320586,0.00123971314586797,0.0731615506133338,-90.86001,46.1934
23780,1557,540,149,2020,0.0187681593395197,0.00125141147977255,0.0680626928715108,-90.97356,46.18952
23781,1558,540,149,2020,0.0187681593395197,0.00125141147977255,0.0680626928715108,-90.98592,46.19031
23782,1559,540,149,2020,0.0197943170320586,0.00123971314586797,0.0731615506133338,-90.89167,46.17813
23783,1560,540,149,2020,0.0201552427340269,0.00134301428118313,0.0722370787309637,-90.89916,46.17247
23784,1561,540,149,2020,0.0197943170320586,0.00123971314586797,0.0731615506133338,-90.86635,46.16611
23785,1562,540,149,2020,0.0314791416188122,0.00189448328608536,0.113813180914695,-90.88772,46.15689
23786,1563,540,149,2020,0.0321041222131654,0.00211948898583328,0.118468969493266,-90.93947,46.14581
24401,1564,821,214,2020,0.513803899197519,0.355385842780237,0.718170145330869,-110.4741,43.6401
7987,379,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.801328,46.79528
7998,380,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.802903,46.79362
8005,381,166,57,2025,0.321346414104242,0.160328915602165,0.543975600487709,-116.82735,46.80458
7981,382,166,57,2025,0.321346414104242,0.160328915602165,0.543975600487709,-116.8283974,46.805044
8009,383,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.814201,46.798874
7991,384,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.814765,46.801022
7982,385,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.804444,46.796697
8007,386,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.802056,46.789134
7990,387,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.81313,46.792285
8000,388,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.82121,46.795835
8002,389,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.812165,46.792968
8008,390,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.814639,46.793393
7994,391,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.801103,46.783962
7992,392,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.801103,46.783962
8004,393,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.813365,46.797709
7989,394,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.817398,46.796568
7993,395,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.79764,46.78263
7996,396,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.819148,46.796139
7985,397,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.831664,46.801065
7999,398,166,57,2025,0.537598424832252,0.390622775233141,0.705392892844815,-116.80121,46.79041
11856,399,203,75,2025,0.0402303291087826,0.00723652090106454,0.106719743663219,-92.98044,48.29353
11845,400,203,75,2025,0.0402303291087826,0.00723652090106454,0.106719743663219,-92.9772,48.29043
11844,401,203,75,2025,0.0402303291087826,0.00723652090106454,0.106719743663219,-92.98098,48.28572
11849,402,203,75,2025,0.0289377798813369,0.00451369374926995,0.0807470414937791,-92.97411,48.30849
11846,403,202,75,2025,0.0466257215647147,0.00870224687043547,0.119123622557334,-93.00032,48.28757
11847,404,202,75,2025,0.0402303291087826,0.00723652090106454,0.106719743663219,-92.99547,48.28935
11848,405,203,75,2025,0.0289377798813369,0.00451369374926995,0.0807470414937791,-92.9707,48.31089
14397,406,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.770833,43.798889
14416,407,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.768611,43.799722
14400,408,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.768889,43.801389
14417,409,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.767778,43.805
14405,410,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.770278,43.806389
14407,411,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.771111,43.804722
14409,412,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.770278,43.802778
10736,413,271,82,2025,0.588716619943545,0.33169707467114,0.881657886778676,-69.234334,45.400028
12867,414,231,60,2025,0.110325268945438,0.0433625869580424,0.220137744925563,-113.23394,47.07086
23898,415,540,149,2025,0.0216487196013591,0.00141323376743635,0.0795590603624531,-90.851,46.155
23899,416,540,149,2025,0.0216487196013591,0.00141323376743635,0.0795590603624531,-90.8409,46.14723
23900,417,540,149,2025,0.0096896450653128,0.000605009148848634,0.0353711414371372,-90.8961,46.10339
23901,418,540,149,2025,0.0096896450653128,0.000605009148848634,0.0353711414371372,-90.8888,46.10254
23903,419,540,149,2025,0.0129069197254511,0.000906250379233514,0.0465673784469219,-90.9548,46.16856
23904,420,540,149,2025,0.0107090052595294,0.000668945500801019,0.0381453005846669,-91.0059,46.15333
23905,421,540,149,2025,0.019831861986244,0.0013276057270782,0.0715539488988237,-90.9395,46.14581
23897,422,540,149,2025,0.0130698080844033,0.00085574074414963,0.0477868436888022,-90.8332,46.19641
11402,423,469,151,2025,0.000823047403372633,4.50447104672985e-05,0.00320328673504651,-87.514014,46.642608
14412,424,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.771667,43.802222
14414,425,558,201,2025,0.0326339953905161,0.0120984011723025,0.0666037199688512,-71.772222,43.801111
22016,426,1325,348,2025,0.293001351680701,0.127664538235581,0.518280469355662,-111.60793,40.78496
22006,427,1325,348,2025,0.154188508181384,0.0658866925413358,0.274230762304324,-111.59702,40.76943
10732,428,271,82,2025,0.634975182842299,0.392188147469188,0.89630543602549,-69.193614,45.421765
11403,429,469,151,2025,0.00430788824413461,0.00048783559760886,0.0135925690989039,-87.5323467,46.646619
11425,430,469,151,2025,0.00430788824413461,0.00048783559760886,0.0135925690989039,-87.5459715,46.6487507
14366,431,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.2774144,44.062608
11404,432,469,151,2025,0.00430788824413461,0.00048783559760886,0.0135925690989039,-87.554589,46.664674
14368,433,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.2710622,44.0572582
14369,434,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.29445815,44.05414133
14370,435,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.28963779,44.05700574
11405,436,469,151,2025,0.00430788824413461,0.00048783559760886,0.0135925690989039,-87.569154,46.657475
14373,437,559,159,2025,0.230834148815388,0.13597111597866,0.354980786755063,-71.30446174,44.05489127
14371,438,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.28439844,44.05225324
14374,439,559,159,2025,0.301562281943722,0.173234327576344,0.463792497265863,-71.30743492,44.05291758
14375,440,559,159,2025,0.276230444505158,0.163682915702358,0.423532292848938,-71.2945316,44.0486186
14367,441,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.2797219,44.0600284
14372,442,559,159,2025,0.146620208809678,0.0768217841294221,0.234284736157107,-71.28470404,44.05759287
12955,443,171,59,2025,0.00473635151432742,0.000644114134651302,0.0141911569549345,-113.668142,47.524764
11426,444,469,151,2025,0.000823047403372633,4.50447104672985e-05,0.00320328673504651,-87.480784,46.6276697
12956,445,171,59,2025,0.00365137360918149,0.000511331215094846,0.0110521405467672,-113.66996564,47.52706126
12951,446,171,59,2025,0.00473635151432742,0.000644114134651302,0.0141911569549345,-113.671308,47.523655
12952,447,171,59,2025,0.00473635151432742,0.000644114134651302,0.0141911569549345,-113.669901,47.523799
