cell50,x50,y50,total_count,in_range
504,-1400000,2585000,0,TRUE
508,-1200000,2585000,60,TRUE
511,-1050000,2585000,0,FALSE
513,-950000,2585000,0,FALSE
535,150000,2585000,0,FALSE
540,400000,2585000,0,TRUE
552,1600000,2585000,3,TRUE
556,1800000,2585000,50,TRUE
557,1850000,2585000,101,TRUE
559,1950000,2585000,71,TRUE
561,2050000,2585000,2,TRUE
577,-1600000,2535000,0,TRUE
586,-1150000,2535000,78,TRUE
587,-1100000,2535000,0,FALSE
588,-1050000,2535000,0,FALSE
590,-950000,2535000,0,FALSE
614,250000,2535000,0,FALSE
619,500000,2535000,0,TRUE
621,600000,2535000,0,TRUE
623,700000,2535000,0,TRUE
626,850000,2535000,0,FALSE
630,1550000,2535000,1,TRUE
631,1600000,2535000,1,TRUE
636,1850000,2535000,138,TRUE
640,2050000,2535000,0,TRUE
641,-2300000,2485000,0,FALSE
644,-2150000,2485000,0,FALSE
647,-2000000,2485000,0,FALSE
648,-1950000,2485000,0,FALSE
662,-1250000,2485000,31,TRUE
663,-1200000,2485000,116,TRUE
664,-1150000,2485000,39,TRUE
665,-1100000,2485000,0,FALSE
691,200000,2485000,0,FALSE
692,250000,2485000,0,FALSE
696,450000,2485000,0,FALSE
701,700000,2485000,0,FALSE
709,1600000,2485000,0,TRUE
713,1800000,2485000,4,TRUE
715,1900000,2485000,42,TRUE
716,1950000,2485000,19,TRUE
717,2000000,2485000,15,TRUE
719,-2300000,2435000,0,FALSE
721,-2200000,2435000,0,FALSE
722,-2150000,2435000,0,FALSE
728,-1850000,2435000,0,FALSE
732,-1650000,2435000,0,FALSE
733,-1600000,2435000,0,FALSE
740,-1250000,2435000,26,TRUE
741,-1200000,2435000,13,TRUE
742,-1150000,2435000,53,TRUE
751,-700000,2435000,0,FALSE
770,250000,2435000,0,FALSE
772,350000,2435000,0,FALSE
775,500000,2435000,0,FALSE
776,550000,2435000,0,FALSE
787,1550000,2435000,0,FALSE
792,1800000,2435000,2,TRUE
793,1850000,2435000,59,TRUE
795,1950000,2435000,17,TRUE
796,2000000,2435000,4,TRUE
797,2050000,2435000,0,TRUE
798,-2300000,2385000,0,FALSE
801,-2150000,2385000,0,FALSE
820,-1200000,2385000,1290,TRUE
821,-1150000,2385000,215,TRUE
831,-650000,2385000,0,FALSE
832,-600000,2385000,0,FALSE
850,300000,2385000,0,FALSE
853,450000,2385000,0,FALSE
869,1450000,2385000,0,FALSE
870,1500000,2385000,0,FALSE
872,1600000,2385000,0,FALSE
878,1900000,2385000,0,FALSE
879,1950000,2385000,0,FALSE
880,2000000,2385000,0,FALSE
881,2050000,2385000,0,FALSE
882,2100000,2385000,0,FALSE
884,-2350000,2335000,0,FALSE
885,-2300000,2335000,0,FALSE
893,-1900000,2335000,0,FALSE
894,-1850000,2335000,0,FALSE
909,-1100000,2335000,0,FALSE
919,-600000,2335000,0,FALSE
921,-500000,2335000,0,FALSE
936,250000,2335000,0,FALSE
943,600000,2335000,0,FALSE
949,950000,2335000,0,FALSE
953,1350000,2335000,0,FALSE
957,1550000,2335000,0,FALSE
958,1600000,2335000,0,FALSE
961,1750000,2335000,0,FALSE
964,1900000,2335000,0,FALSE
966,2000000,2335000,0,FALSE
967,2050000,2335000,0,FALSE
991,-1300000,2285000,5,TRUE
1005,-600000,2285000,0,FALSE
1025,400000,2285000,0,FALSE
1026,450000,2285000,0,FALSE
1027,500000,2285000,0,FALSE
1028,550000,2285000,0,FALSE
1029,600000,2285000,0,FALSE
1030,650000,2285000,0,FALSE
1033,850000,2285000,0,FALSE
1039,1350000,2285000,0,FALSE
1042,1500000,2285000,0,FALSE
1053,-2350000,2235000,0,FALSE
1054,-2300000,2235000,0,FALSE
1058,-2100000,2235000,0,FALSE
1072,-1400000,2235000,0,FALSE
1082,-900000,2235000,0,FALSE
1110,500000,2235000,0,FALSE
1111,550000,2235000,0,FALSE
1112,600000,2235000,0,FALSE
1113,650000,2235000,0,FALSE
1115,850000,2235000,0,FALSE
1116,900000,2235000,0,FALSE
1117,950000,2235000,0,FALSE
1118,1000000,2235000,0,FALSE
1119,1050000,2235000,0,FALSE
1124,1400000,2235000,0,FALSE
1125,1450000,2235000,0,FALSE
1130,1700000,2235000,0,FALSE
1131,1750000,2235000,0,FALSE
1132,1800000,2235000,0,FALSE
1133,1850000,2235000,0,FALSE
1134,1900000,2235000,0,FALSE
1135,1950000,2235000,0,FALSE
1137,-2350000,2185000,0,FALSE
1139,-2250000,2185000,0,FALSE
1141,-2150000,2185000,0,FALSE
1142,-2100000,2185000,0,FALSE
1143,-2050000,2185000,0,FALSE
1181,-150000,2185000,0,FALSE
1195,550000,2185000,0,FALSE
1197,650000,2185000,0,FALSE
1198,800000,2185000,0,FALSE
1199,850000,2185000,0,FALSE
1200,900000,2185000,0,FALSE
1202,1000000,2185000,0,FALSE
1203,1050000,2185000,0,FALSE
1204,1200000,2185000,0,FALSE
1206,1300000,2185000,0,FALSE
1214,1700000,2185000,0,FALSE
1216,1800000,2185000,0,FALSE
1217,1850000,2185000,0,FALSE
1218,1900000,2185000,0,FALSE
1219,-2350000,2135000,0,FALSE
1222,-2200000,2135000,0,FALSE
1223,-2150000,2135000,0,FALSE
1226,-2000000,2135000,0,FALSE
1239,-1350000,2135000,0,FALSE
1241,-1250000,2135000,6,TRUE
1245,-1050000,2135000,0,FALSE
1270,200000,2135000,0,FALSE
1279,650000,2135000,0,FALSE
1280,700000,2135000,0,FALSE
1285,950000,2135000,0,FALSE
1287,1050000,2135000,0,FALSE
1289,1150000,2135000,0,FALSE
1290,1200000,2135000,0,FALSE
1292,1300000,2135000,0,FALSE
1296,1500000,2135000,0,FALSE
1300,1700000,2135000,0,FALSE
1302,1800000,2135000,0,FALSE
1304,-2350000,2085000,0,FALSE
1306,-2250000,2085000,0,FALSE
1310,-2050000,2085000,0,FALSE
1311,-2000000,2085000,0,FALSE
1318,-1650000,2085000,0,FALSE
1324,-1350000,2085000,0,FALSE
1325,-1300000,2085000,540,TRUE
1326,-1250000,2085000,70,TRUE
1334,-850000,2085000,0,FALSE
1355,200000,2085000,0,FALSE
1356,250000,2085000,0,FALSE
1359,400000,2085000,0,FALSE
1360,450000,2085000,0,FALSE
1364,650000,2085000,0,FALSE
1366,750000,2085000,0,FALSE
1368,850000,2085000,0,FALSE
1375,1200000,2085000,0,FALSE
1383,1600000,2085000,0,FALSE
1385,1700000,2085000,0,FALSE
1386,1750000,2085000,0,FALSE
1389,-2300000,2035000,0,FALSE
1390,-2250000,2035000,0,FALSE
1391,-2200000,2035000,0,FALSE
1392,-2150000,2035000,0,FALSE
1393,-2100000,2035000,0,FALSE
1394,-2050000,2035000,0,FALSE
1409,-1300000,2035000,183,TRUE
1413,-1100000,2035000,0,FALSE
1417,-900000,2035000,0,FALSE
1419,-800000,2035000,0,FALSE
1435,0,2035000,0,FALSE
1458,1150000,2035000,0,FALSE
1462,1350000,2035000,0,FALSE
1463,1400000,2035000,0,FALSE
1468,1650000,2035000,0,FALSE
1469,1700000,2035000,0,FALSE
1471,1800000,2035000,0,FALSE
1473,-2300000,1985000,0,FALSE
1474,-2250000,1985000,0,FALSE
1475,-2200000,1985000,0,FALSE
1478,-2050000,1985000,0,FALSE
1490,-1450000,1985000,0,FALSE
1498,-1050000,1985000,0,FALSE
1501,-900000,1985000,0,FALSE
1502,-850000,1985000,0,FALSE
1503,-800000,1985000,0,FALSE
1530,550000,1985000,0,FALSE
1537,900000,1985000,0,FALSE
1541,1100000,1985000,0,FALSE
1546,1350000,1985000,0,FALSE
1548,1450000,1985000,0,FALSE
1550,1550000,1985000,0,FALSE
1551,1600000,1985000,0,FALSE
1552,1650000,1985000,0,FALSE
1554,1750000,1985000,0,FALSE
1555,1800000,1985000,0,FALSE
1556,-2300000,1935000,0,FALSE
1557,-2250000,1935000,0,FALSE
1562,-2000000,1935000,0,FALSE
1571,-1550000,1935000,0,FALSE
1582,-1000000,1935000,0,FALSE
1583,-950000,1935000,0,FALSE
1585,-850000,1935000,0,FALSE
1586,-800000,1935000,0,FALSE
1587,-750000,1935000,0,FALSE
1596,-300000,1935000,0,FALSE
1604,100000,1935000,0,FALSE
1615,650000,1935000,0,FALSE
1618,800000,1935000,0,FALSE
1623,1050000,1935000,0,FALSE
1624,1100000,1935000,0,FALSE
1630,1400000,1935000,0,FALSE
1633,1550000,1935000,0,FALSE
1634,1600000,1935000,0,FALSE
1635,1650000,1935000,0,FALSE
1636,1700000,1935000,0,FALSE
1637,1750000,1935000,0,FALSE
1639,-2300000,1885000,0,FALSE
1640,-2250000,1885000,0,FALSE
1641,-2200000,1885000,0,FALSE
1644,-2050000,1885000,0,FALSE
1645,-2000000,1885000,0,FALSE
1660,-1250000,1885000,0,FALSE
1666,-950000,1885000,0,FALSE
1668,-850000,1885000,0,FALSE
1669,-800000,1885000,0,FALSE
1670,-750000,1885000,0,FALSE
1700,750000,1885000,0,FALSE
1704,950000,1885000,0,FALSE
1709,1200000,1885000,0,FALSE
1713,1400000,1885000,0,FALSE
1715,1500000,1885000,0,FALSE
1717,1600000,1885000,0,FALSE
1721,1800000,1885000,0,FALSE
1722,-2250000,1835000,0,FALSE
1723,-2200000,1835000,0,FALSE
1724,-2150000,1835000,0,FALSE
1726,-2050000,1835000,0,FALSE
1728,-1950000,1835000,0,FALSE
1739,-1400000,1835000,0,FALSE
1748,-950000,1835000,0,FALSE
1782,750000,1835000,0,FALSE
1787,1000000,1835000,0,FALSE
1801,1700000,1835000,0,FALSE
1803,1800000,1835000,0,FALSE
1804,-2250000,1785000,0,FALSE
1805,-2200000,1785000,0,FALSE
1807,-2100000,1785000,0,FALSE
1809,-2000000,1785000,0,FALSE
1812,-1850000,1785000,0,FALSE
1823,-1300000,1785000,0,FALSE
1825,-1200000,1785000,0,FALSE
1831,-900000,1785000,0,FALSE
1834,-750000,1785000,0,FALSE
1841,-400000,1785000,0,FALSE
1850,50000,1785000,0,FALSE
1853,200000,1785000,0,FALSE
1856,350000,1785000,0,FALSE
1880,1550000,1785000,0,FALSE
1881,1600000,1785000,0,FALSE
1885,-2250000,1735000,0,FALSE
1890,-2000000,1735000,0,FALSE
1891,-1950000,1735000,0,FALSE
1900,-1500000,1735000,0,FALSE
1902,-1400000,1735000,0,FALSE
1903,-1350000,1735000,0,FALSE
1909,-1050000,1735000,0,FALSE
1910,-1000000,1735000,0,FALSE
1913,-850000,1735000,0,FALSE
1917,-650000,1735000,0,FALSE
1934,200000,1735000,0,FALSE
1940,500000,1735000,0,FALSE
1945,750000,1735000,0,FALSE
1959,1450000,1735000,0,FALSE
1962,1600000,1735000,0,FALSE
1964,1700000,1735000,0,FALSE
1966,-2250000,1685000,0,FALSE
1967,-2200000,1685000,0,FALSE
1971,-2000000,1685000,0,FALSE
1974,-1850000,1685000,0,FALSE
1981,-1500000,1685000,0,FALSE
1987,-1200000,1685000,0,FALSE
1995,-800000,1685000,0,FALSE
2034,1150000,1685000,0,FALSE
2040,1450000,1685000,0,FALSE
2046,1750000,1685000,0,FALSE
2047,-2200000,1635000,0,FALSE
2048,-2150000,1635000,0,FALSE
2051,-2000000,1635000,0,FALSE
2052,-1950000,1635000,0,FALSE
2057,-1700000,1635000,0,FALSE
2063,-1400000,1635000,0,FALSE
2072,-950000,1635000,0,FALSE
2101,500000,1635000,0,FALSE
2108,850000,1635000,0,FALSE
2117,1300000,1635000,0,FALSE
2127,1800000,1635000,0,FALSE
2130,-2100000,1585000,0,FALSE
2139,-1650000,1585000,0,FALSE
2143,-1450000,1585000,0,FALSE
2144,-1400000,1585000,0,FALSE
2158,-700000,1585000,0,FALSE
2177,250000,1585000,0,FALSE
2196,1200000,1585000,0,FALSE
2201,1450000,1585000,0,FALSE
2202,1500000,1585000,0,FALSE
2206,1700000,1585000,0,FALSE
2207,1750000,1585000,0,FALSE
2211,-2150000,1535000,0,FALSE
2212,-2100000,1535000,0,FALSE
2213,-2050000,1535000,0,FALSE
2233,-1050000,1535000,0,FALSE
2237,-850000,1535000,0,FALSE
2238,-800000,1535000,0,FALSE
2272,900000,1535000,0,FALSE
2275,1050000,1535000,0,FALSE
2279,1250000,1535000,0,FALSE
2284,1500000,1535000,0,FALSE
2285,1550000,1535000,0,FALSE
2291,1850000,1535000,0,FALSE
2293,-2150000,1485000,0,FALSE
2295,-2050000,1485000,0,FALSE
2296,-2000000,1485000,0,FALSE
2297,-1950000,1485000,0,FALSE
2317,-950000,1485000,0,FALSE
2318,-900000,1485000,0,FALSE
2319,-850000,1485000,0,FALSE
2354,900000,1485000,0,FALSE
2358,1100000,1485000,0,FALSE
2360,1200000,1485000,0,FALSE
2363,1350000,1485000,0,FALSE
2373,-2050000,1435000,0,FALSE
2374,-2000000,1435000,0,FALSE
2375,-1950000,1435000,0,FALSE
2376,-1900000,1435000,0,FALSE
2377,-1850000,1435000,0,FALSE
2378,-1800000,1435000,0,FALSE
2381,-1650000,1435000,0,FALSE
2385,-1450000,1435000,0,FALSE
2386,-1400000,1435000,0,FALSE
2389,-1250000,1435000,0,FALSE
2392,-1100000,1435000,0,FALSE
2396,-900000,1435000,0,FALSE
2397,-850000,1435000,0,FALSE
2412,-100000,1435000,0,FALSE
2419,250000,1435000,0,FALSE
2422,400000,1435000,0,FALSE
2433,950000,1435000,0,FALSE
2436,1100000,1435000,0,FALSE
2437,1150000,1435000,0,FALSE
2438,1200000,1435000,0,FALSE
2441,1350000,1435000,0,FALSE
2450,-2050000,1385000,0,FALSE
2451,-2000000,1385000,0,FALSE
2452,-1950000,1385000,0,FALSE
2453,-1900000,1385000,0,FALSE
2454,-1850000,1385000,0,FALSE
2463,-1400000,1385000,0,FALSE
2472,-950000,1385000,0,FALSE
2509,900000,1385000,0,FALSE
2524,1650000,1385000,0,FALSE
2527,-1950000,1335000,0,FALSE
2528,-1900000,1335000,0,FALSE
2529,-1850000,1335000,0,FALSE
2530,-1800000,1335000,0,FALSE
2537,-1450000,1335000,0,FALSE
2555,-550000,1335000,0,FALSE
2577,550000,1335000,0,FALSE
2591,1250000,1335000,0,FALSE
2597,1550000,1335000,0,FALSE
2599,-1950000,1285000,0,FALSE
2600,-1900000,1285000,0,FALSE
2602,-1800000,1285000,0,FALSE
2604,-1700000,1285000,0,FALSE
2605,-1650000,1285000,0,FALSE
2609,-1450000,1285000,0,FALSE
2614,-1200000,1285000,0,FALSE
2616,-1100000,1285000,0,FALSE
2643,250000,1285000,0,FALSE
2659,1050000,1285000,0,FALSE
2661,1150000,1285000,0,FALSE
2672,-1750000,1235000,0,FALSE
2679,-1400000,1235000,0,FALSE
2687,-1000000,1235000,0,FALSE
2696,-550000,1235000,0,FALSE
2697,-500000,1235000,0,FALSE
2700,-350000,1235000,0,FALSE
2709,100000,1235000,0,FALSE
2724,850000,1235000,0,FALSE
2729,1100000,1235000,0,FALSE
2736,1450000,1235000,0,FALSE
2746,-1350000,1185000,0,FALSE
2751,-1100000,1185000,0,FALSE
2755,-900000,1185000,0,FALSE
2763,-500000,1185000,0,FALSE
2772,-50000,1185000,0,FALSE
2790,850000,1185000,0,FALSE
2809,-1400000,1135000,0,FALSE
2810,-1350000,1135000,0,FALSE
2815,-1100000,1135000,0,FALSE
2859,1100000,1135000,0,FALSE
2862,1250000,1135000,0,FALSE
2869,-1450000,1085000,0,FALSE
2870,-1400000,1085000,0,FALSE
2871,-1350000,1085000,0,FALSE
2872,-1300000,1085000,0,FALSE
2873,-1250000,1085000,0,FALSE
2895,-150000,1085000,0,FALSE
2896,-100000,1085000,0,FALSE
2897,-50000,1085000,0,FALSE
2927,-1450000,1035000,0,FALSE
2928,-1400000,1035000,0,FALSE
2929,-1350000,1035000,0,FALSE
2937,-950000,1035000,0,FALSE
2967,550000,1035000,0,FALSE
2975,950000,1035000,0,FALSE
2976,1000000,1035000,0,FALSE
2983,1350000,1035000,0,FALSE
2994,-650000,985000,0,FALSE
2996,-550000,985000,0,FALSE
3046,-450000,935000,0,FALSE
3047,-400000,935000,0,FALSE
3055,0,935000,0,FALSE
3061,300000,935000,0,FALSE
3064,450000,935000,0,FALSE
3079,1200000,935000,0,FALSE
3083,1400000,935000,0,FALSE
3085,-850000,885000,0,FALSE
3087,-750000,885000,0,FALSE
3099,-150000,885000,0,FALSE
3105,150000,885000,0,FALSE
3109,350000,885000,0,FALSE
3123,1050000,885000,0,FALSE
3133,-750000,835000,0,FALSE
3137,-550000,835000,0,FALSE
3139,-450000,835000,0,FALSE
3144,-200000,835000,0,FALSE
3145,-150000,835000,0,FALSE
3147,-50000,835000,0,FALSE
3148,0,835000,0,FALSE
3151,150000,835000,0,FALSE
3156,400000,835000,0,FALSE
3157,450000,835000,0,FALSE
3162,700000,835000,0,FALSE
3174,1300000,835000,0,FALSE
3176,1400000,835000,0,FALSE
3185,-500000,785000,0,FALSE
3189,-300000,785000,0,FALSE
3190,-250000,785000,0,FALSE
3191,-200000,785000,0,FALSE
3192,-150000,785000,0,FALSE
3203,400000,785000,0,FALSE
3209,1000000,785000,0,FALSE
3216,1400000,785000,0,FALSE
3220,-750000,735000,0,FALSE
3221,-700000,735000,0,FALSE
3226,-350000,735000,0,FALSE
3228,-250000,735000,0,FALSE
3229,-200000,735000,0,FALSE
3232,-50000,735000,0,FALSE
3233,0,735000,0,FALSE
3234,50000,735000,0,FALSE
3235,100000,735000,0,FALSE
3236,150000,735000,0,FALSE
3248,1350000,735000,0,FALSE
3249,1400000,735000,0,FALSE
3266,50000,685000,0,FALSE
3275,1300000,685000,0,FALSE
3276,1350000,685000,0,FALSE
3277,1400000,685000,0,FALSE
3279,1500000,685000,0,FALSE
3289,-50000,635000,0,FALSE
3292,1300000,635000,0,FALSE
3294,1400000,635000,0,FALSE
3295,1450000,635000,0,FALSE
3296,1500000,635000,0,FALSE
3297,1550000,635000,0,FALSE
3305,-100000,585000,0,FALSE
3308,1300000,585000,0,FALSE
3309,1350000,585000,0,FALSE
3320,-150000,535000,0,FALSE
3322,1350000,535000,0,FALSE
3324,1450000,535000,0,FALSE
3325,1500000,535000,0,FALSE
3334,1400000,485000,0,FALSE
3335,1450000,485000,0,FALSE
3344,1450000,435000,0,FALSE
3345,1500000,435000,0,FALSE
3347,1600000,435000,0,FALSE
3349,-250000,385000,0,FALSE
3355,1600000,385000,0,FALSE
3356,-250000,335000,0,FALSE
3357,-200000,335000,0,FALSE
3358,-150000,335000,0,FALSE
3362,1600000,335000,0,FALSE
3364,1500000,285000,0,FALSE
6,-1850000,3135000,1,TRUE
21,-2100000,3035000,0,FALSE
23,-2000000,3035000,0,FALSE
26,-1850000,3035000,0,TRUE
28,-1750000,3035000,8,TRUE
39,-2100000,2985000,0,FALSE
45,-1800000,2985000,0,TRUE
47,-1700000,2985000,0,FALSE
51,-1500000,2985000,10,TRUE
59,-1100000,2985000,0,FALSE
61,-1000000,2985000,0,FALSE
72,-1850000,2935000,0,FALSE
81,-1400000,2935000,3,TRUE
86,-1150000,2935000,0,FALSE
87,-1100000,2935000,0,FALSE
100,2000000,2935000,14,TRUE
108,-1950000,2885000,0,FALSE
109,-1900000,2885000,0,FALSE
116,-1550000,2885000,46,TRUE
117,-1500000,2885000,10,TRUE
120,-1350000,2885000,0,TRUE
141,-300000,2885000,1,TRUE
144,-150000,2885000,0,TRUE
151,2000000,2885000,11,TRUE
156,-2100000,2835000,0,FALSE
158,-2000000,2835000,0,FALSE
164,-1700000,2835000,0,FALSE
167,-1550000,2835000,4,TRUE
173,-1250000,2835000,5,TRUE
206,550000,2835000,96,TRUE
207,1950000,2835000,1,TRUE
225,-1600000,2785000,7,TRUE
226,-1550000,2785000,2,TRUE
233,-1200000,2785000,0,FALSE
255,-100000,2785000,0,TRUE
257,0,2785000,0,TRUE
268,550000,2785000,0,FALSE
278,-2100000,2735000,0,FALSE
281,-1950000,2735000,0,FALSE
293,-1350000,2735000,10,TRUE
306,-700000,2735000,0,FALSE
309,-550000,2735000,0,FALSE
331,650000,2735000,0,FALSE
343,-2050000,2685000,0,FALSE
344,-2000000,2685000,0,FALSE
356,-1400000,2685000,3,TRUE
373,-550000,2685000,0,FALSE
383,-50000,2685000,0,FALSE
385,50000,2685000,1,TRUE
389,250000,2685000,8,TRUE
396,600000,2685000,6,TRUE
403,1850000,2685000,25,TRUE
407,2050000,2685000,0,TRUE
408,2100000,2685000,8,TRUE
415,-2050000,2635000,0,FALSE
416,-2000000,2635000,0,FALSE
441,-750000,2635000,0,FALSE
449,-350000,2635000,0,FALSE
455,-50000,2635000,0,FALSE
462,300000,2635000,0,TRUE
469,650000,2635000,9,TRUE
471,750000,2635000,0,TRUE
473,850000,2635000,2,TRUE
479,1800000,2635000,22,TRUE
536,200000,2585000,0,FALSE
547,750000,2585000,0,TRUE
550,900000,2585000,0,TRUE
553,1650000,2585000,0,TRUE
554,1700000,2585000,9,TRUE
555,1750000,2585000,8,TRUE
563,-2300000,2535000,0,FALSE
565,-2200000,2535000,0,FALSE
585,-1200000,2535000,18,TRUE
597,-600000,2535000,0,FALSE
615,300000,2535000,0,FALSE
620,550000,2535000,1,TRUE
632,1650000,2535000,2,TRUE
633,1700000,2535000,13,TRUE
637,1900000,2535000,82,TRUE
638,1950000,2535000,12,TRUE
645,-2100000,2485000,0,FALSE
650,-1850000,2485000,0,FALSE
655,-1600000,2485000,3,TRUE
660,-1350000,2485000,6,TRUE
661,-1300000,2485000,1,TRUE
697,500000,2485000,0,FALSE
704,850000,2485000,0,FALSE
708,1550000,2485000,0,TRUE
710,1650000,2485000,1,TRUE
711,1700000,2485000,6,TRUE
718,2050000,2485000,0,TRUE
725,-2000000,2435000,0,FALSE
729,-1800000,2435000,0,FALSE
769,200000,2435000,0,FALSE
791,1750000,2435000,2,TRUE
794,1900000,2435000,40,TRUE
802,-2100000,2385000,0,FALSE
804,-2000000,2385000,0,FALSE
805,-1950000,2385000,0,FALSE
810,-1700000,2385000,0,FALSE
812,-1600000,2385000,0,FALSE
848,200000,2385000,0,FALSE
849,250000,2385000,0,FALSE
852,400000,2385000,0,FALSE
857,650000,2385000,0,FALSE
868,1400000,2385000,0,FALSE
871,1550000,2385000,0,FALSE
876,1800000,2385000,0,FALSE
877,1850000,2385000,0,FALSE
888,-2150000,2335000,0,FALSE
889,-2100000,2335000,0,FALSE
891,-2000000,2335000,0,FALSE
896,-1750000,2335000,0,FALSE
901,-1500000,2335000,0,FALSE
922,-450000,2335000,0,FALSE
944,650000,2335000,0,FALSE
954,1400000,2335000,0,FALSE
955,1450000,2335000,0,FALSE
959,1650000,2335000,0,FALSE
963,1850000,2335000,0,FALSE
968,2100000,2335000,0,FALSE
971,-2300000,2285000,0,FALSE
977,-2000000,2285000,0,FALSE
1037,1050000,2285000,0,FALSE
1040,1400000,2285000,0,FALSE
1048,1800000,2285000,0,FALSE
1051,1950000,2285000,0,FALSE
1052,2000000,2285000,0,FALSE
1075,-1250000,2235000,7,TRUE
1083,-850000,2235000,0,FALSE
1093,-350000,2235000,0,FALSE
1096,-200000,2235000,0,FALSE
1114,800000,2235000,0,FALSE
1120,1100000,2235000,0,FALSE
1122,1300000,2235000,0,FALSE
1153,-1550000,2185000,0,FALSE
1158,-1300000,2185000,34,TRUE
1160,-1200000,2185000,12,TRUE
1170,-700000,2185000,0,FALSE
1190,300000,2185000,0,FALSE
1213,1650000,2185000,0,FALSE
1220,-2300000,2135000,0,FALSE
1225,-2050000,2135000,0,FALSE
1234,-1600000,2135000,0,FALSE
1240,-1300000,2135000,43,TRUE
1246,-1000000,2135000,0,FALSE
1266,0,2135000,0,FALSE
1273,350000,2135000,0,FALSE
1276,500000,2135000,0,FALSE
1286,1000000,2135000,0,FALSE
1294,1400000,2135000,0,FALSE
1301,1750000,2135000,0,FALSE
1303,1850000,2135000,0,FALSE
1307,-2200000,2085000,0,FALSE
1327,-1200000,2085000,24,TRUE
1328,-1150000,2085000,0,FALSE
1335,-800000,2085000,0,FALSE
1365,700000,2085000,0,FALSE
1373,1100000,2085000,0,FALSE
1380,1450000,2085000,0,FALSE
1395,-2000000,2035000,0,FALSE
1410,-1250000,2035000,20,TRUE
1411,-1200000,2035000,4,TRUE
1415,-1000000,2035000,0,FALSE
1449,700000,2035000,0,FALSE
1453,900000,2035000,0,FALSE
1461,1300000,2035000,0,FALSE
1476,-2150000,1985000,0,FALSE
1477,-2100000,1985000,0,FALSE
1482,-1850000,1985000,0,FALSE
1496,-1150000,1985000,0,FALSE
1505,-700000,1985000,0,FALSE
