"parameter","mean","median","sd","q025","q975","p_negative","n_na","covariate_index","covariate_label","rhat","model"
"occ_beta[1]",-0.379638970612504,-0.378901704101562,0.0437051712385492,-0.467082216933367,-0.295383471704925,1,0,1,"Human_pop",1.00137508281418,"bobcat_v2b_national_scalar"
"occ_beta[2]",0.117120428647398,0.117159362325514,0.0563631813389013,0.00535864427754877,0.225697605582113,0.0198133333333333,0,2,"NDVI_mean",1.00289101799949,"bobcat_v2b_national_scalar"
"occ_beta[3]",0.0483278343564691,0.0482643129503376,0.0303259058502753,-0.0107199721755258,0.108368894967713,0.05494,0,3,"Ag",1.00198334589164,"bobcat_v2b_national_scalar"
"occ_beta[4]",0.21700539739242,0.216582655916097,0.0599052237602076,0.100955786107538,0.336078824850667,8.66666666666667e-05,0,4,"Deciduous",1.00069317067187,"bobcat_v2b_national_scalar"
"occ_beta[5]",-0.0064668444224545,-0.00705710419151216,0.0476128383142592,-0.0987367081456778,0.0879551044096527,0.55732,0,5,"Evergreen",1.00164656046666,"bobcat_v2b_national_scalar"
"occ_beta[6]",0.0441375336517227,0.0437615504700315,0.0386902971716196,-0.0306622590529969,0.120350509284765,0.125886666666667,0,6,"Mixed",1.00027240127187,"bobcat_v2b_national_scalar"
"occ_beta[7]",0.0739149740552827,0.0737513642605804,0.0222634464238277,0.0306606690105984,0.118097761176884,0.000486666666666667,0,7,"terrain_ruggedness",1.00071633158315,"bobcat_v2b_national_scalar"
"occ_beta[8]",-0.12654586153191,-0.12625228820558,0.0384517706934659,-0.202038406770112,-0.0517159898607157,0.999546666666667,0,8,"soil_clay",1.00054254316846,"bobcat_v2b_national_scalar"
"occ_beta[9]",-0.0129541974168391,-0.0127375066938091,0.0415849905674849,-0.0949800934380912,0.0691228353493556,0.622846666666667,0,9,"soil_silt",1.00157197040626,"bobcat_v2b_national_scalar"
"occ_beta[1]",-0.37975706818956,-0.379468752031796,0.0432381928885132,-0.465155746036069,-0.296065276883429,1,0,1,"Human_pop",1.00112462739841,"bobcat_v2b_ecoregion"
"occ_beta[2]",0.110475872401847,0.109731832743484,0.0547974160261336,0.00442984885209987,0.219849488777815,0.0206666666666667,0,2,"NDVI_mean",1.00259546441148,"bobcat_v2b_ecoregion"
"occ_beta[3]",0.0591058270622996,0.0590327101086907,0.0302907945451773,-0.000383789224131381,0.119048886109606,0.0256866666666667,0,3,"Ag",1.00090441494144,"bobcat_v2b_ecoregion"
"occ_beta[4]",0.219518610198389,0.22015267380506,0.0613749558914811,0.0985172779332678,0.340893604585539,0.000173333333333333,0,4,"Deciduous",1.00216244787864,"bobcat_v2b_ecoregion"
"occ_beta[5]",-0.0112124725562517,-0.0111468518467828,0.0477217912382805,-0.104093435990633,0.082832316212062,0.593673333333333,0,5,"Evergreen",1.00183383071915,"bobcat_v2b_ecoregion"
"occ_beta[6]",0.0445176195270456,0.0445930844144605,0.0386804354274512,-0.0311316374917331,0.120626704447743,0.124806666666667,0,6,"Mixed",1.000940469838,"bobcat_v2b_ecoregion"
"occ_beta[7]",0.0690055563996928,0.0688838917504668,0.0222338925441046,0.0259446942444322,0.112665944931495,0.000753333333333333,0,7,"terrain_ruggedness",1.00008195997237,"bobcat_v2b_ecoregion"
"occ_beta[8]",-0.0898489486736128,-0.089456921885829,0.0394663097357134,-0.168083579677517,-0.0124268729713981,0.98896,0,8,"soil_clay",1.00129023934998,"bobcat_v2b_ecoregion"
"occ_beta[9]",-0.0337162918892715,-0.0339356172188158,0.042181243144556,-0.116254406841932,0.0485865373326539,0.78484,0,9,"soil_silt",1.00168108782841,"bobcat_v2b_ecoregion"
"occ_beta[1]",-0.501301813413314,-0.501015279713061,0.02970281173116,-0.56032548801173,-0.444197744853151,1,0,1,"Human_pop",1.00026393331663,"white-tailed_deer_v2b_national_scalar"
"occ_beta[2]",-0.0447570262232077,-0.0451377535247709,0.033968097664547,-0.111012520105596,0.0231566281060737,0.90554,0,2,"NDVI_mean",1.00306611609065,"white-tailed_deer_v2b_national_scalar"
"occ_beta[3]",0.0111261984730546,0.0109860272480418,0.0208466249604934,-0.0292818723335251,0.0523094105969016,0.299526666666667,0,3,"Ag",1.00087525526468,"white-tailed_deer_v2b_national_scalar"
"occ_beta[4]",0.0655095239894684,0.0653358811364652,0.0351461740885485,-0.00307810589373904,0.134452825882725,0.0312066666666667,0,4,"Deciduous",1.00029207784403,"white-tailed_deer_v2b_national_scalar"
