"model","chain","n_draws","n_chunks","param","rhat_all_chunks","rhat_resumed_only"
"moose_v1fix_national_scalar","3",50000,5,"occ_beta[6]",1.00937001411624,1.00869703393775
"moose_v1fix_national_scalar","3",50000,5,"occ_beta[7]",1.00456251212243,1.00621355211084
"moose_v1fix_national_scalar","3",50000,5,"occ_beta[8]",1.06138693228672,1.03806765069476
"moose_v1fix_national_scalar","3",50000,5,"occ_beta[9]",1.03787206997059,1.0396617846704
"moose_v1fix_national_scalar","3",50000,5,"occ_beta[10]",1.05836327757041,1.03444137081152
"moose_v1fix_national_scalar","3",50000,5,"overdisp_inat",1.0348546165798,1.00405290415399
"moose_v1fix_national_scalar","3",50000,5,"p_beta[1]",1.00350780396391,1.00323731393782
"moose_v1fix_national_scalar","3",50000,5,"p_beta[2]",1.00323817278751,1.00355923046639
"moose_v1fix_national_scalar","3",50000,5,"p_beta[3]",1.00214315461203,1.00062915175441
"moose_v1fix_national_scalar","3",50000,5,"p_beta[4]",1.00220508307192,1.0010217526274
"moose_v1fix_national_scalar","3",50000,5,"theta0",1.0732021143983,1.02695629402684
"moose_v1fix_national_scalar","3",50000,5,"theta1",1.04943862033816,1.02265768753778
"moose_v1fix_national_scalar","3",50000,5,"total_var_beta",1.04003270362626,1.04287309190568
"moose_v1fix_national_scalar","3",50000,5,"trend_robust_indicator",1.00128451911051,1.00062276416545
"moose_v1fix_national_scalar","3",50000,5,"year_beta",1.00720222653785,1.00842193999945
"moose_v1fix_national_scalar","3",50000,5,"year_var",1.01125371696032,1.01310386104191
"moose_v1fix_ecoregion","1",50000,5,"MCMT_tau",1.0316167656407,1.00115612717554
"moose_v1fix_ecoregion","1",50000,5,"MWMT_tau",1.03075477384299,1.00009326736316
"moose_v1fix_ecoregion","1",50000,5,"det_intercept",1.01454170102326,1.00865819804097
"moose_v1fix_ecoregion","1",50000,5,"intercept_tau",1.03070507426075,1.0002503979647
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[1]",1.0253154576905,1.02946311143973
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[2]",1.00764790987196,1.01015962642718
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[3]",1.03316418428142,1.04042314832437
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[4]",1.01407465808278,1.00830463453529
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[5]",1.01394930843271,1.0099656157851
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[6]",1.0233030022511,1.02993948447
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[7]",1.00319581747268,1.00413217958037
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[8]",1.15488169610834,1.15820821721878
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[9]",1.04826765065885,1.06272040459298
"moose_v1fix_ecoregion","1",50000,5,"occ_beta[10]",1.15307087529066,1.15002642858597
"moose_v1fix_ecoregion","1",50000,5,"overdisp_inat",1.03264954898577,1.00054304316742
"moose_v1fix_ecoregion","1",50000,5,"p_beta[1]",1.00250406718144,1.00216308951468
"moose_v1fix_ecoregion","1",50000,5,"p_beta[2]",1.00706409220946,1.00738135875767
"moose_v1fix_ecoregion","1",50000,5,"p_beta[3]",1.0020203413581,1.00259340217017
"moose_v1fix_ecoregion","1",50000,5,"p_beta[4]",1.00759204876601,1.00572259824184
"moose_v1fix_ecoregion","1",50000,5,"sigma_region",1.00791100232382,1.00993795155673
"moose_v1fix_ecoregion","1",50000,5,"theta0",1.16155371553229,1.11693758276071
"moose_v1fix_ecoregion","1",50000,5,"theta1",1.10255795485097,1.04704813671357
"moose_v1fix_ecoregion","1",50000,5,"total_var_beta",1.01588510667506,1.00347156036392
"moose_v1fix_ecoregion","1",50000,5,"trend_robust_indicator",1.00553311871916,1.00355314691665
"moose_v1fix_ecoregion","1",50000,5,"year_beta",1.01554508595093,1.01288121762517
"moose_v1fix_ecoregion","1",50000,5,"year_region[1]",1.0089593288637,1.00859581226832
"moose_v1fix_ecoregion","1",50000,5,"year_region[2]",1.00708365319915,1.00923751171381
"moose_v1fix_ecoregion","1",50000,5,"year_region[3]",1.00082730873338,1.00073553883055
"moose_v1fix_ecoregion","1",50000,5,"year_region[4]",1.00194512316517,1.00318182486515
"moose_v1fix_ecoregion","1",50000,5,"year_region[5]",1.0111038027222,1.0167043072607
"moose_v1fix_ecoregion","1",50000,5,"year_region[6]",1.00748666638391,1.01045280992673
"moose_v1fix_ecoregion","1",50000,5,"year_region[7]",1.00834608761816,1.01113419640609
"moose_v1fix_ecoregion","1",50000,5,"year_region[8]",1.00604672286657,1.00975704330894
"moose_v1fix_ecoregion","1",50000,5,"year_var",1.00266173951049,1.00252167726849
"moose_v1fix_ecoregion","2",50000,5,"MCMT_tau",1.03205675894161,1.00162690610414
"moose_v1fix_ecoregion","2",50000,5,"MWMT_tau",1.03092516759293,1.00025591975141
