"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"total_var_beta",-0.307570436373599,-0.304617957734833,0.0708507291329348,-0.455185844993343,-0.177276094053263,1,0,1.00325464682779,"moose_v1fix9_national_scalar"
"year_beta",-0.249176964916306,-0.25147887620809,0.108612310980227,-0.460652508625911,-0.0316374610645457,0.98868,0,1.00095287250594,"moose_v1fix9_national_scalar"
"year_var",-0.058393471457293,-0.0453883077853966,0.120256997323558,-0.313976133449045,0.166628607409497,0.678053333333333,0,1.00145350935079,"moose_v1fix9_national_scalar"
"trend_robust_indicator",0.48786,0,0.499854264856509,0,1,0,0,1.00009820109537,"moose_v1fix9_national_scalar"
"snr_derived",NA,0.934401534738482,NA,-3.47347664228205,3.51448924335349,0.333266666666667,0,NA,"moose_v1fix9_national_scalar"
